model,query_language,doc_language,recall_at_10,n_pairs
bge-m3,en,en,0.7777777777777778,27
bge-m3,en,de,0.6666666666666666,6
bge-m3,en,fr,0.5714285714285714,21
bge-m3,en,es,0.5,6
bge-m3,en,zh,0.6,5
bge-m3,de,en,0.6666666666666666,27
bge-m3,de,de,1.0,6
bge-m3,de,fr,0.47619047619047616,21
bge-m3,de,es,0.6666666666666666,6
bge-m3,de,zh,0.6,5
bge-m3,fr,en,0.5925925925925926,27
bge-m3,fr,de,0.6666666666666666,6
bge-m3,fr,fr,0.7142857142857143,21
bge-m3,fr,es,0.6666666666666666,6
bge-m3,fr,zh,0.2,5
bge-m3,es,en,0.68,25
bge-m3,es,de,1.0,6
bge-m3,es,fr,0.631578947368421,19
bge-m3,es,es,1.0,6
bge-m3,es,zh,0.2,5
bge-m3,zh,en,0.46153846153846156,26
bge-m3,zh,de,0.5,6
bge-m3,zh,fr,0.35,20
bge-m3,zh,es,0.3333333333333333,6
bge-m3,zh,zh,1.0,5
nomic-v2-moe,en,en,0.8518518518518519,27
nomic-v2-moe,en,de,0.8333333333333334,6
nomic-v2-moe,en,fr,0.6190476190476191,21
nomic-v2-moe,en,es,0.5,6
nomic-v2-moe,en,zh,0.4,5
nomic-v2-moe,de,en,0.6666666666666666,27
nomic-v2-moe,de,de,1.0,6
nomic-v2-moe,de,fr,0.6190476190476191,21
nomic-v2-moe,de,es,0.5,6
nomic-v2-moe,de,zh,0.2,5
nomic-v2-moe,fr,en,0.5555555555555556,27
nomic-v2-moe,fr,de,0.5,6
nomic-v2-moe,fr,fr,0.7142857142857143,21
nomic-v2-moe,fr,es,0.5,6
nomic-v2-moe,fr,zh,0.2,5
nomic-v2-moe,es,en,0.64,25
nomic-v2-moe,es,de,0.8333333333333334,6
nomic-v2-moe,es,fr,0.6842105263157895,19
nomic-v2-moe,es,es,1.0,6
nomic-v2-moe,es,zh,0.0,5
nomic-v2-moe,zh,en,0.2692307692307692,26
nomic-v2-moe,zh,de,0.3333333333333333,6
nomic-v2-moe,zh,fr,0.35,20
nomic-v2-moe,zh,es,0.3333333333333333,6
nomic-v2-moe,zh,zh,1.0,5
granite-278m,en,en,0.7407407407407407,27
granite-278m,en,de,0.5,6
granite-278m,en,fr,0.42857142857142855,21
granite-278m,en,es,0.3333333333333333,6
granite-278m,en,zh,0.8,5
granite-278m,de,en,0.5925925925925926,27
granite-278m,de,de,0.6666666666666666,6
granite-278m,de,fr,0.5238095238095238,21
granite-278m,de,es,0.3333333333333333,6
granite-278m,de,zh,1.0,5
granite-278m,fr,en,0.5555555555555556,27
granite-278m,fr,de,0.5,6
granite-278m,fr,fr,0.6190476190476191,21
granite-278m,fr,es,0.3333333333333333,6
granite-278m,fr,zh,0.8,5
granite-278m,es,en,0.56,25
granite-278m,es,de,0.5,6
granite-278m,es,fr,0.5789473684210527,19
granite-278m,es,es,0.6666666666666666,6
granite-278m,es,zh,0.6,5
granite-278m,zh,en,0.38461538461538464,26
granite-278m,zh,de,0.3333333333333333,6
granite-278m,zh,fr,0.25,20
granite-278m,zh,es,0.5,6
granite-278m,zh,zh,1.0,5
LaBSE,en,en,0.5555555555555556,27
LaBSE,en,de,0.6666666666666666,6
LaBSE,en,fr,0.6666666666666666,21
LaBSE,en,es,0.8333333333333334,6
LaBSE,en,zh,0.6,5
LaBSE,de,en,0.25925925925925924,27
LaBSE,de,de,0.8333333333333334,6
LaBSE,de,fr,0.5238095238095238,21
LaBSE,de,es,0.6666666666666666,6
LaBSE,de,zh,0.6,5
LaBSE,fr,en,0.2962962962962963,27
LaBSE,fr,de,0.6666666666666666,6
LaBSE,fr,fr,0.6666666666666666,21
LaBSE,fr,es,0.8333333333333334,6
LaBSE,fr,zh,0.6,5
LaBSE,es,en,0.24,25
LaBSE,es,de,0.8333333333333334,6
LaBSE,es,fr,0.6842105263157895,19
LaBSE,es,es,0.8333333333333334,6
LaBSE,es,zh,0.2,5
LaBSE,zh,en,0.4230769230769231,26
LaBSE,zh,de,0.5,6
LaBSE,zh,fr,0.55,20
LaBSE,zh,es,0.6666666666666666,6
LaBSE,zh,zh,0.6,5
SapBERT,en,en,0.6296296296296297,27
SapBERT,en,de,0.5,6
SapBERT,en,fr,0.2857142857142857,21
SapBERT,en,es,0.6666666666666666,6
SapBERT,en,zh,0.2,5
SapBERT,de,en,0.1111111111111111,27
SapBERT,de,de,0.6666666666666666,6
SapBERT,de,fr,0.38095238095238093,21
SapBERT,de,es,0.3333333333333333,6
SapBERT,de,zh,0.2,5
SapBERT,fr,en,0.2222222222222222,27
SapBERT,fr,de,0.5,6
SapBERT,fr,fr,0.5238095238095238,21
SapBERT,fr,es,0.16666666666666666,6
SapBERT,fr,zh,0.4,5
SapBERT,es,en,0.28,25
SapBERT,es,de,0.5,6
SapBERT,es,fr,0.3157894736842105,19
SapBERT,es,es,0.8333333333333334,6
SapBERT,es,zh,0.0,5
SapBERT,zh,en,0.23076923076923078,26
SapBERT,zh,de,0.3333333333333333,6
SapBERT,zh,fr,0.4,20
SapBERT,zh,es,0.3333333333333333,6
SapBERT,zh,zh,0.4,5
e5-large-instruct,en,en,0.8148148148148148,27
e5-large-instruct,en,de,0.16666666666666666,6
e5-large-instruct,en,fr,0.19047619047619047,21
e5-large-instruct,en,es,0.0,6
e5-large-instruct,en,zh,0.2,5
e5-large-instruct,de,en,0.2222222222222222,27
e5-large-instruct,de,de,0.6666666666666666,6
e5-large-instruct,de,fr,0.14285714285714285,21
e5-large-instruct,de,es,0.0,6
e5-large-instruct,de,zh,0.2,5
e5-large-instruct,fr,en,0.07407407407407407,27
e5-large-instruct,fr,de,0.0,6
e5-large-instruct,fr,fr,0.7142857142857143,21
e5-large-instruct,fr,es,0.0,6
e5-large-instruct,fr,zh,0.0,5
e5-large-instruct,es,en,0.16,25
e5-large-instruct,es,de,0.0,6
e5-large-instruct,es,fr,0.0,19
e5-large-instruct,es,es,0.6666666666666666,6
e5-large-instruct,es,zh,0.0,5
e5-large-instruct,zh,en,0.15384615384615385,26
e5-large-instruct,zh,de,0.16666666666666666,6
e5-large-instruct,zh,fr,0.0,20
e5-large-instruct,zh,es,0.0,6
e5-large-instruct,zh,zh,1.0,5
gte-base,en,en,0.2222222222222222,27
gte-base,en,de,0.0,6
gte-base,en,fr,0.0,21
gte-base,en,es,0.0,6
gte-base,en,zh,0.0,5
gte-base,de,en,0.0,27
gte-base,de,de,0.5,6
gte-base,de,fr,0.0,21
gte-base,de,es,0.0,6
gte-base,de,zh,0.0,5
gte-base,fr,en,0.0,27
gte-base,fr,de,0.0,6
gte-base,fr,fr,0.09523809523809523,21
gte-base,fr,es,0.0,6
gte-base,fr,zh,0.0,5
gte-base,es,en,0.0,25
gte-base,es,de,0.0,6
gte-base,es,fr,0.05263157894736842,19
gte-base,es,es,0.16666666666666666,6
gte-base,es,zh,0.0,5
gte-base,zh,en,0.038461538461538464,26
gte-base,zh,de,0.0,6
gte-base,zh,fr,0.0,20
gte-base,zh,es,0.0,6
gte-base,zh,zh,0.6,5
