publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025009131-A,technical,random_missing,zh,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,为升高腔室或型腔压力使用的是何种流体？,超临界流体,parameter_or_condition,33,15,18,3,2358,3985,4704,0.004315,4671,447,0,0.020718,0.025033,49.788,ok,
WO-2022005333-A1,semantic,random_existing,en,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Which unutilized refinery byproduct streams are suitable for conversion into high-quality automotive fuel?,"low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction",application,34,14,20,3,2795,4063,4308,0.004454,5480,594,0,0.02535,0.029804,47.309,ok,
EP-4627881-A1,semantic,forced_zh,zh,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,面对连续化生产要求，如何将独立的小型发生器集成到完整产线中？,包含多个上述发生装置的等离子体发生单元,application,29,13,16,3,2582,4181,5051,0.004542,5082,567,0,0.023751,0.028293,45.471,ok,
MX-2025007206-A,technical,random_missing,de,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Ab welcher Temperatur ist eine langfristige Lagerung der rAAV-Formulierungen möglich?,above -80°C,parameter_or_condition,35,12,23,3,2533,3677,3664,0.004032,4429,397,0,0.019242,0.023274,34.622,ok,
MX-2025010190-A,technical,random_existing,en,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,What type of amino acid profile characterizes the recombinant polypeptide in the nutritional composition?,nutritionally complete amino acid profile,structure,30,15,15,3,2347,2693,2845,0.004778,4773,447,0,0.021024,0.025802,60.416,ok,
MX-2025005046-A,semantic,all,de,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Wie lässt sich die Bildung langlebiger reaktiver Sauerstoffspezies in einem belüfteten Reinigungssystem physikalisch optimieren?,"Die UV-Strahlungsreflexionsabdeckung ist so ausgelegt, um die Wechselwirkung der UV-Strahlung mit Sauerstoffmolekülen in der einströmenden Luft zu verstärken. Das oder die doppelten magnetischen Ringpaare sind so konfiguriert, um die lokalen Magnetfelder zu intensivieren und die Anzahl sowie die mittlere Lebensdauer von radikalisiertem Sauerstoff zu erhöhen und die Wasserreinigung zu verbessern.",solution,32,12,20,3,2803,4918,5391,0.005338,5346,494,0,0.023448,0.028786,42.66,ok,
WO-2025207810-A1,technical,random_missing,zh,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,错误检查条形码核苷酸序列基于什么编码？,汉明码,material,36,15,21,3,2316,4768,4649,0.004976,4597,442,0,0.020421,0.025397,41.2,ok,
EP-4627127-A1,technical,random_missing,de,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Welche Verarbeitungsschritte folgen auf das Gießen bei der Herstellung der Aluminiumlegierungsprodukte?,angepasstes Walzen und nachgelagerte Wärmebehandlungsschritte,method,33,15,18,3,2489,4206,4714,0.004579,4559,424,0,0.020037,0.024616,33.638,ok,
EP-4633645-A1,technical,random_any,fr,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Quelle modification biochimique spécifique est élevée dans les affections neurodégénératives ciblées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65,parameter_or_condition,35,15,20,3,2494,3852,4153,0.004201,4339,497,0,0.020472,0.024673,32.424,ok,
MX-2025007510-A,semantic,random_any,es,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,¿Qué estrategia de formulación permite vehicular y proteger principios activos de origen ácido que se eliminan rápidamente del organismo?,una composición farmacéutica que contiene liposomas,solution,30,11,19,3,2488,5198,5682,0.005546,4262,579,0,0.021471,0.027017,52.752,ok,
EP-4577789-A1,technical,random_existing,zh,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,冷却气体管道连接竖窑内的哪两个区域？,从冷却区 (22) 引导至预热区 (21),structure,35,15,20,3,3743,3149,3108,0.004872,8217,443,0,0.031296,0.036168,25.976,ok,
WO-2025212655-A1,semantic,random_any,de,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,"Welche Strategie nutzt man, um DNA-Fragmente direkt auf einem festen Träger zu replizieren und dabei eine hohe lokale Dichte zu erreichen?","Die concatemer template molecules können durch die Durchführung von rolling circle amplification Reaktionen auf einem Träger erzeugt werden, der ein Gemisch aus immobilisierten capture und pinning primers umfasst.",solution,32,13,19,3,2847,4696,5195,0.004912,5280,605,0,0.024915,0.029827,41.264,ok,
WO-2025202347-A1,semantic,random_missing,de,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,"Welche Formulierungsstrategie ermöglicht es, iota-carrageenan als zentrales oder einziges therapeutisches Element in einer wässrigen Augenmedikation einzusetzen?",als Haupt- oder alleiniger Wirkstoff in einer wässrigen pharmazeutischen Zubereitung,solution,31,15,16,3,2994,5013,5196,0.005432,5780,673,11,0.027435,0.032867,49.436,ok,
MX-2025006624-A,semantic,random_any,fr,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Quelle stratégie formulation permet d'intégrer des précurseurs renouvelables dans des systèmes de revêtements durcis par rayonnement tout en contrôlant la rhéologie ?,"a poly(trimethylene ether) (meth)acrylate compound A having at most two (meth)acrylate groups obtainable by a condensation reaction of biobased 1,3 poly(trimethylene ether) glycol and a (meth)acrylate compound selected from the group consisting of (meth)acrylic acid, (meth)acryloyl chloride, and /or alkylesters thereof",solution,32,12,20,3,2933,9211,8651,0.009622,5788,603,0,0.026409,0.036031,68.543,ok,
WO-2025187661-A8,semantic,random_missing,es,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,¿Qué enfoque se propone para prevenir la aparición de rebabas o exudaciones al reprocesar polímeros de cadena aromática con enlaces de azufre?,can be inhibited from forming burrs,problem,29,9,20,3,2542,7598,7750,0.007954,4374,616,0,0.022362,0.030316,47.521,ok,
EP-4633791-A1,semantic,forced_zh,zh,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,家用清洁或个人洗护产品如何通过微囊化技术整合香氛成分？,含有所述微胶囊的香调组合物以及包含这些微胶囊的消费产品，尤其是以家庭护理或个人护理产品形式出现的含香消费产品。,application,30,11,19,3,2208,4855,5901,0.005186,4358,596,0,0.022014,0.0272,55.817,ok,
EP-4634436-A1,semantic,random_existing,fr,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Quelle technique permet de localiser les membranes fissurées au sein d'un électrolyseur sans démonter l'ensemble de la pile ?,l'injection de gaz inertes au niveau d'une anode et au niveau d'une cathode de chaque cellule,solution,34,13,21,3,2835,5434,5921,0.005859,5050,565,0,0.023625,0.029484,51.883,ok,
WO-2025215167-A1,semantic,random_existing,de,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,"Wie kann eine robuste Oxidschicht gefertigt werden, die funktionale Nanopartikel gleichmäßig verteilt und anschließend eine definierte Kristallstruktur ausbildet?","Eine Beschichtung aus Zirconium(IV)-oxid, welche durch einen Sol-Gel-Prozess aus einer flüssigen Phase mit darin verteilten dotierten Nanodiamanten auf einem Substrat abgeschieden und nach Ihrer Trocknung durch einen Kalzinierungsprozess bei erhöhter Temperatur in einen kristallinen Zustand überfuhrt wird, in dem das Zirconium(IV)-oxid zum überwiegendem Anteil in seiner tetragonalen Phase vorliegt.",solution,34,14,20,3,2754,5342,4944,0.0056,5346,611,0,0.025203,0.030803,42.706,ok,
MX-2025004470-A,semantic,random_existing,en,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,How is precise thermal regulation maintained inside the catalytic reaction zone during paraffin conversion?,heating the heated paraffinic feedstock in the first dehydrogenation reactor using the at least one first electrical heating element,solution,31,13,18,3,2626,3793,4031,0.004161,5052,585,0,0.023931,0.028092,35.582,ok,
WO-2025177605-A1,technical,random_existing,fr,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Quelle méthode de soudage est employée pour la fabrication de la cornue ?,soudage au plasma,method,35,15,20,3,2835,4230,4056,0.004655,5191,519,0,0.023358,0.028013,38.867,ok,
