publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025005046-A,semantic,all,de,anthropic/claude-sonnet-4.6,gpt-5.5,Welche Rolle spielen Magnetfelder bei der Erzeugung und Stabilisierung reaktiver Sauerstoffspezies in einem Wasserreinigungsgerät?,"Das/die doppelte(n) Magnetringpaar(e) ist/sind so konfiguriert, dass es/sie die lokalen Magnetfelder verstärkt/verstärken und die Anzahl und mittlere Lebensdauer der radikalisierten Sauerstoffmoleküle erhöht/erhöhen und die Wasserreinigung verbessert/verbessern.",solution,35,14,21,3,3656,624,132,0.020328,4500,1189,624,0.05817,0.078498,30.893,ok,
WO-2025207810-A1,technical,random_missing,zh,anthropic/claude-sonnet-4.6,gpt-5.5,engineered hairpin structure在寡核苷酸中起什么作用？,mitigates hybridizing of the oligonucleotide to undesirable nucleic acid sequences,structure,35,15,20,3,3391,181,0,0.012888,3977,1239,725,0.057055,0.069943,24.096,ok,
EP-4627127-A1,technical,random_missing,de,anthropic/claude-sonnet-4.6,gpt-5.5,"Für welchen Anwendungsbereich sind diese formbaren, korrosionsbeständigen Aluminiumlegierungen vorgesehen?",structural component,material,35,15,20,3,3365,469,309,0.01713,3871,1177,658,0.054665,0.071795,28.866,ok,
EP-4633645-A1,technical,random_any,fr,anthropic/claude-sonnet-4.6,gpt-5.5,Quel marqueur biologique caractérise les maladies neurodégénératives traitées par les composés de formule (I) ?,Un niveau élevé de phosphorylation de l'ubiquitine Ser65,parameter_or_condition,37,15,22,3,3009,471,284,0.016092,3853,861,362,0.045095,0.061187,23.094,ok,
MX-2025007510-A,semantic,random_any,es,anthropic/claude-sonnet-4.6,gpt-5.5,¿Qué estrategia de encapsulación lipídica permite reducir la frecuencia de administración en el tratamiento de la hipertensión pulmonar?,el uso de la composición farmacéutica descrita en la presente para tratar hipertensión pulmonar con frecuencia de dosificación reducida,application,35,14,21,3,3055,378,0,0.014835,3916,1176,620,0.05486,0.069695,25.628,ok,
EP-4577789-A1,technical,random_existing,zh,anthropic/claude-sonnet-4.6,gpt-5.5,PFR竖窑中废气通过哪个出口排出？,废气经由排气出口 (6) 从其中一个竖井 (2) 排出,material,36,14,22,3,5178,214,0,0.018744,6927,1086,576,0.067215,0.085959,22.573,ok,
WO-2025212655-A1,semantic,random_any,de,anthropic/claude-sonnet-4.6,gpt-5.5,Wie lassen sich DNA-Vorlagen für hochdurchsatzfähige Sequenzierläufe stabil auf einer festen Oberfläche verankern?,"Die concatemer template molecules können durch die Durchführung von rolling circle amplification Reaktionen auf einem Support generiert werden, der eine Mischung aus immobilisierten capture und pinning primers enthält. Die entstehenden Moleküle kollabieren zu kompakten DNA nanoballs, die stabil auf dem Support immobilisiert sind.",solution,33,13,20,3,3766,546,116,0.019488,4480,1198,670,0.05834,0.077828,30.067,ok,
WO-2025202347-A1,semantic,random_missing,de,anthropic/claude-sonnet-4.6,gpt-5.5,"Wie können Spätfolgen einer nicht-viralen Bindehautentzündung, wie Hornhauttrübungen oder Pseudomembranbildung, pharmakologisch adressiert werden?","Die klinisch relevanten Augenerkrankungen umfassen Spätkomplikationen nicht-viraler und nicht-allergischer Konjunktivitis, ausgewählt aus der Gruppe bestehend aus Hornhauttrübungen (corneal opacities), subepitheliale Infiltrate und die Bildung okulärer Pseudomembranen (formation of ocular pseudomembranes).",problem,32,13,19,3,3987,673,146,0.022056,5056,1358,838,0.06602,0.088076,36.859,ok,
MX-2025006624-A,semantic,random_any,fr,anthropic/claude-sonnet-4.6,gpt-5.5,Comment intégrer des matières premières renouvelables dans une formulation de revêtement durcissable par rayonnement sans sacrifier la réactivité ?,"un composé de (met)acrilato de poly(triméthylène éther) A ayant au plus deux groupes (meth)acrylate, obtenu par réaction de condensation de 1,3 poly(trimethylene ether) glycol d'origine biologique et un composé (meth)acrylate choisi dans le groupe constitué de l'acide (meth)acrylique, du chlorure de (meth)acryloyle et/ou de leurs alkylesters",problem,34,12,22,3,3519,720,238,0.021357,4808,1538,982,0.07018,0.091537,38.114,ok,
WO-2025187661-A8,semantic,random_missing,es,anthropic/claude-sonnet-4.6,gpt-5.5,¿Cómo se puede evitar la formación de rebabas durante el reciclado de resinas termoplásticas de alto rendimiento?,"La composición de resina de poly(arylene sulfide) (X) para materiales de reciclaje comprende (A) 100 partes en masa de una resina de poly(arylene sulfide) lineal con grupo carboxy y (B) 0,3-10 partes en masa de un compuesto alkoxysilane.",solution,32,12,20,3,3094,311,0,0.013947,3998,1111,584,0.05332,0.067267,23.73,ok,
EP-4633791-A1,semantic,forced_zh,zh,anthropic/claude-sonnet-4.6,gpt-5.5,有没有一种不依赖合成聚合物壳材、利用天然生物大分子封装香料的微囊化技术？,La présente invention concerne un nouveau procédé de préparation de microcapsules à base de protéines,problem,36,14,22,3,3412,336,62,0.015276,3736,1133,631,0.05267,0.067946,25.459,ok,
EP-4634436-A1,semantic,random_existing,fr,anthropic/claude-sonnet-4.6,gpt-5.5,Comment l'injection de gaz inertes côté anode et côté cathode peut-elle être exploitée pour diagnostiquer l'intégrité des séparateurs dans un système d'électrolyse ?,au moins l'un du ou des premiers tests sur la base d'une injection de gaz inertes au niveau d'une anode et au niveau d'une cathode de chaque cellule,application,37,15,22,3,3448,661,206,0.020259,4640,1184,651,0.05872,0.078979,31.454,ok,
WO-2025215167-A1,semantic,random_existing,de,anthropic/claude-sonnet-4.6,gpt-5.5,"Wie lassen sich dotierte Nanodiamanten dauerhaft in eine Oxidkeramikschicht einbetten, ohne ihre Quanteneigenschaften zu verlieren?",Die Beschichtung aus Zirconium(IV)-oxid wird durch einen Sol-Gel-Prozess aus einer flüssigen Phase mit darin verteilten dotierten Nanodiamanten auf einem Substrat abgeschieden und nach ihrer Trocknung durch einen Kalzinierungsprozess bei erhöhter Temperatur in einen kristallinen Zustand überführt.,solution,36,14,22,3,3615,387,0,0.01665,4286,1454,908,0.06505,0.0817,33.653,ok,
MX-2025004470-A,semantic,random_existing,en,anthropic/claude-sonnet-4.6,gpt-5.5,How can electrical heating elements be integrated inside a catalytic dehydrogenation reactor to supplement upstream combustion-based preheating?,"feeding the heated paraffinic feedstock to a first dehydrogenation reactor operating in a reaction mode and containing an active dehydrogenation catalyst and at least one first electrical heating element, heating the heated paraffinic feedstock in the first dehydrogenation reactor using the at least one first electrical heating element",solution,37,14,23,3,2965,751,268,0.02016,4556,1232,697,0.05974,0.0799,33.218,ok,
WO-2025177605-A1,technical,random_existing,fr,anthropic/claude-sonnet-4.6,gpt-5.5,Quelle est la teneur minimale en Ni requise dans l'alliage à base de Ni utilisé pour le matériau de base d'une cornue ?,"90,0% en poids ou plus de Ni",material,38,15,23,3,3395,393,109,0.01608,4557,1015,516,0.053235,0.069315,22.962,ok,
