publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025009131-A,technical,random_missing,zh,gpt-5-mini,anthropic/claude-sonnet-4.6,聚合物由哪类聚合物组成？,one or more non-cross-linked thermoplastic polymers that are recyclable and/or biodegradable,structure,32,15,17,3,2596,2576,2432,0.002913,4673,448,0,0.020739,0.023652,47.203,ok,
WO-2022005333-A1,semantic,random_existing,en,gpt-5-mini,anthropic/claude-sonnet-4.6,How can low-value olefin-rich feeds like dry catalytic cracking gas or propane‑propylene cuts be converted into gasoline in this process?,"The method makes it possible to produce gasolines using low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction,",problem,30,11,19,3,2690,1771,1344,0.002121,5948,518,0,0.025614,0.027735,34.744,ok,
EP-4627881-A1,semantic,forced_zh,zh,gpt-5-mini,anthropic/claude-sonnet-4.6,有哪些专用硬件可以直接生成工业用等离子体火焰？,"用于生成至少一种等离子体火焰(12)的装置(10, 10a, 10b)。",solution,32,14,18,3,2877,2086,1856,0.00246,5094,581,0,0.023997,0.026457,41.561,ok,
MX-2025007206-A,technical,random_missing,de,gpt-5-mini,anthropic/claude-sonnet-4.6,Welche Lagertemperatur wird für langfristige Aufbewahrung genannt?,temperatures above -80 °C,parameter_or_condition,30,13,17,3,2434,3067,2944,0.003383,4381,535,0,0.021168,0.024551,43.518,ok,
MX-2025010190-A,technical,random_existing,en,gpt-5-mini,anthropic/claude-sonnet-4.6,What amino acid profile does the recombinant polypeptide have?,a nutritionally complete amino acid profile,structure,31,15,16,3,2300,1360,1216,0.001659,4783,504,0,0.021909,0.023568,31.406,ok,
MX-2025005046-A,semantic,all,de,gpt-5-mini,anthropic/claude-sonnet-4.6,"Welcher mechanische oder physikalische Mechanismus wird eingesetzt, um die Zahl und Lebensdauer reaktiver Sauerstoffspezies zu erhöhen und dadurch die Reinigung zu verbessern?","Die doppelten Paare magnetischer Ringe sind so konfiguriert, die lokalen Magnetfelder zu verstärken, die Anzahl und die mittlere Lebensdauer radikalisierten Sauerstoffmolekülen zu erhöhen und die Wasserreinigung zu verbessern.",solution,30,12,18,3,2704,2837,2560,0.003189,5080,634,0,0.02475,0.027939,52.958,ok,
WO-2025207810-A1,technical,random_missing,zh,gpt-5-mini,anthropic/claude-sonnet-4.6,哪种结构可减弱寡核苷酸与不良核酸序列的杂交？,工程化的发夹结构,structure,36,15,21,3,2543,2061,1920,0.002392,4609,426,0,0.020217,0.022609,39.23,ok,
EP-4627127-A1,technical,random_missing,de,gpt-5-mini,anthropic/claude-sonnet-4.6,Welche Festigkeit weisen die resultierenden Aluminiumlegierungsprodukte auf?,hohe Festigkeit,outcome,30,15,15,3,2441,2278,2112,0.002595,4575,546,0,0.021915,0.02451,41.655,ok,
EP-4633645-A1,technical,random_any,fr,gpt-5-mini,anthropic/claude-sonnet-4.6,Quel site de phosphorylation de l'ubiquitine est élevé dans les maladies neurodégénératives ?,phosphorylation de l'ubiquitine Ser65,parameter_or_condition,37,15,22,3,2380,2099,1920,0.002408,4363,491,0,0.020454,0.022862,41.518,ok,
MX-2025007510-A,semantic,random_any,es,gpt-5-mini,anthropic/claude-sonnet-4.6,¿En qué indicación clínica se plantea usar esta formulación y qué beneficio de dosificación aporta?,tratar hipertensión pulmonar con frecuencia de dosificación reducida.,application,31,15,16,3,2402,1843,1664,0.002155,4244,559,0,0.021117,0.023272,41.098,ok,
EP-4577789-A1,technical,random_existing,zh,gpt-5-mini,anthropic/claude-sonnet-4.6,冷却气体由哪个管道引导至预热区？,冷却气体管道 (44),material,32,15,17,3,3987,1657,1536,0.002175,8121,434,0,0.030873,0.033048,38.226,ok,
WO-2025212655-A1,semantic,random_any,de,gpt-5-mini,anthropic/claude-sonnet-4.6,"Welcher Ansatz wird vorgeschlagen, um zahlreiche Vorlagen direkt auf einem festen Träger zu erzeugen?","In einigen Ausführungsformen können die concatemer template molecules erzeugt werden, indem rolling circle amplification-Reaktionen auf einem Support durchgeführt werden, der eine Mischung aus immobilisierten capture und pinning primers enthält.",solution,31,13,18,3,2751,1824,1536,0.002182,5322,603,0,0.025011,0.027193,39.408,ok,
WO-2025202347-A1,semantic,random_missing,de,gpt-5-mini,anthropic/claude-sonnet-4.6,Welche konkreten Augenzustände und Spätkomplikationen können mit einer iota-carrageenan-haltigen Formulierung behandelt werden?,"die klinisch relevanten Augenleiden sind ausgewählt aus der Gruppe bestehend aus erhöhter Augeninnendruck, nicht-allergischer und nicht-viraler Konjunktivitis, Reizungen verursacht durch luftgetragene Partikel außer Allergenen, und späte Komplikationen dieser Konjunktivitis, bestehend aus Kornea-Opazitäten, subepithelialen Infiltraten und Bildung von okulären Pseudomembranen.",application,29,13,16,3,2952,2172,1792,0.002556,5970,602,0,0.02694,0.029496,42.801,ok,
MX-2025006624-A,semantic,random_any,fr,gpt-5-mini,anthropic/claude-sonnet-4.6,Comment la formulation intègre-t-elle un monomère d'origine biobasée dans un revêtement curable par rayonnement actinique ?,"La composition comprend de 10 wt% à 90 wt%, basé sur le poids total de la composition, d'un poly(trimethylene ether) (meth)acrylate compound A ayant au plus deux groupes (meth)acrylate, obtenable par une réaction de condensation de biobased 1,3 poly(trimethylene ether) glycol et d'un composé de (meth)acrylate sélectionné dans le groupe constitué par (meth)acrylic acid, (meth)acryloyl chloride et/ou leurs alkylesters; wherein the biobased 1,3 poly(trimethylene ether) glycol has a number average molecular weight Mn of from 350 to 600 g/mol, more preferably from 400 to 550 g/mol.",solution,28,10,18,3,2811,3158,2688,0.003523,5778,614,0,0.026544,0.030067,47.282,ok,
WO-2025187661-A8,semantic,random_missing,es,gpt-5-mini,anthropic/claude-sonnet-4.6,¿Qué defecto durante el reprocesado en planta pretende evitar esta composición de resina?,puede ser inhibida de formar rebabas durante el reciclaje.,problem,31,13,18,3,2450,3306,3072,0.003625,4434,604,0,0.022362,0.025986,62.204,ok,
EP-4633791-A1,semantic,forced_zh,zh,gpt-5-mini,anthropic/claude-sonnet-4.6,有哪些新的工艺可用于制备以蛋白质为基础的微胶囊？,一种制备蛋白质基微胶囊的新工艺。,solution,27,11,16,3,2550,3431,3200,0.003763,4338,608,0,0.022134,0.025897,55.941,ok,
EP-4634436-A1,semantic,random_existing,fr,gpt-5-mini,anthropic/claude-sonnet-4.6,"Quelle action est entreprise si, après le remplacement initial, le contrôle détecte encore des cellules endommagées ?","lorsqu'un résultat du deuxième test indique qu'il reste la ou les autres cellules endommagées, l'arrêt de l'électrolyseur et la répétition de l'exécution du ou des premiers tests, le remplacement de la ou des cellules, et l'exécution du deuxième test,",application,31,14,17,3,2748,2457,2048,0.002814,5520,593,0,0.025455,0.028269,46.263,ok,
WO-2025215167-A1,semantic,random_existing,de,gpt-5-mini,anthropic/claude-sonnet-4.6,"Welches Herstellungsverfahren wird vorgeschlagen, um eine Zirconium(IV)-oxid-Schicht mit eingebrachten dotierten Nanodiamanten auf einem Substrat zu erzeugen?","Die Erfindung betrifft eine Beschichtung aus Zirconium(IV)-oxid, welche durch einen Sol-Gel-Prozess aus einer flüssigen Phase mit darin verteilten dotierten Nanodiamanten auf einem Substrat abgeschieden und nach Ihrer Trocknung durch einen Kalzinierungsprozess bei erhöhter Temperatur in einen kristallinen Zustand überfuhrt wird.",solution,29,12,17,3,2653,2864,2560,0.003209,5028,601,0,0.024099,0.027308,45.616,ok,
MX-2025004470-A,semantic,random_existing,en,gpt-5-mini,anthropic/claude-sonnet-4.6,What in-reactor heating strategy is used together with a catalyst to carry out the dehydrogenation reaction?,"feeding the heated paraffinic feedstock to a first dehydrogenation reactor operating in a reaction mode and containing an active dehydrogenation catalyst and at least one first electrical heating element, heating the heated paraffinic feedstock in the first dehydrogenation reactor using the at least one first electrical heating element",solution,30,11,19,3,2532,2035,1728,0.002364,5228,607,0,0.024789,0.027153,38.282,ok,
WO-2025177605-A1,technical,random_existing,fr,gpt-5-mini,anthropic/claude-sonnet-4.6,Quel pourcentage d'Al contient l'alliage à base de Ni ?,"2,0% en poids ou plus d'Al",material,33,15,18,3,2702,2117,1920,0.002468,5195,535,0,0.02361,0.026078,40.74,ok,
