publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
WO-2025207810-A1,technical,random_missing,zh,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,纠错条形码核苷酸序列是基于什么进行设计的？,Hamming codes,method,36,15,21,3,2365,3274,3112,0.033014,4599,471,0,0.020862,0.053875,31.035,ok,
EP-4627127-A1,technical,random_missing,de,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,"Für welche Art von Komponenten ist die formbare, korrosionsbeständige Aluminiumlegierung vorgesehen?",Strukturbauteile,structure,30,14,16,3,2468,2365,2168,0.024987,4603,517,0,0.021564,0.046551,22.548,ok,
EP-4633645-A1,technical,random_any,fr,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,Quel état de l'ubiquitine Ser65 caractérise les pathologies neurodégénératives ciblées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65,parameter_or_condition,36,15,21,3,2418,2942,2743,0.030105,4387,581,0,0.021876,0.051981,26.48,ok,
MX-2025007510-A,semantic,random_any,es,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,¿Qué trastorno circulatorio se pretende tratar disminuyendo la cantidad de tomas diarias de la terapia?,tratar hipertensión pulmonar con frecuencia de dosificación reducida,application,35,14,21,3,2416,3336,3132,0.033648,4298,593,0,0.021789,0.055437,28.557,ok,
EP-4577789-A1,technical,random_existing,zh,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,冷却气体经由管道被引导至并流蓄热式竖窑的哪个区域？,预热区 (21),parameter_or_condition,32,15,17,3,3822,2464,2328,0.027909,8199,457,0,0.031452,0.059361,22.95,ok,
WO-2025212655-A1,semantic,random_any,de,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,"Wie wird verhindert, dass die langen synthetisierten DNA-Stränge frei in Lösung driften oder unkontrolliert viel Platz auf dem Substrat einnehmen?","Die Concatemer-Templatmoleküle kollabieren zur Bildung kompakter DNA-Nanoballs, die stabil auf einem Träger immobilisiert sind.",problem,34,14,20,3,2775,2499,2175,0.026654,5356,626,0,0.025458,0.052112,26.814,ok,
WO-2025202347-A1,semantic,random_missing,de,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,"Welche klinischen Folgeerscheinungen einer Bindehautreizung, die weder auf Allergene noch auf Viren zurückzuführen ist, lassen sich behandeln?","Spätkomplikationen einer nicht-viralen und nicht-allergischen Konjunktivitis, ausgewählt aus der Gruppe bestehend aus Hornhauttrübungen, subepithelialen Infiltraten und der Bildung von okulären Pseudomembranen",application,34,14,20,3,2977,3065,2730,0.032051,5806,570,0,0.025968,0.058019,26.445,ok,
MX-2025006624-A,semantic,random_any,fr,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,Quels réactifs sont mis en œuvre pour synthétiser le monomère à base de polyéther-acrylate d'origine naturelle utilisé dans la formulation ?,"une réaction de condensation de biobased 1,3 poly(trimethylene ether) glycol et un (meth)acrylate compound choisi dans le groupe constitué par (meth)acrylic acid, (meth)acryloyl chloride, et /ou alkylesters de ceux-ci",solution,30,12,18,3,2890,4131,3770,0.041514,5458,566,0,0.024864,0.066378,34.067,ok,
WO-2025187661-A8,semantic,random_missing,es,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,¿Cómo se puede resolver el reto de la aparición de imperfecciones físicas o rebabas en polímeros de ingeniería cuando se someten a procesos de recuperación y reprocesamiento?,"una composición de resina de poly(arylene sulfide) que, durante el reciclaje, puede evitar la formación de rebabas",problem,32,12,20,3,2465,2696,2412,0.027962,4540,536,0,0.02166,0.049621,26.626,ok,
EP-4633791-A1,semantic,forced_zh,zh,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,这种微包裹体通常适用于哪些类型的加香日化产品？,家庭护理或个人护理产品形式的加香消费品,application,29,13,16,3,2314,3117,2949,0.031524,4172,566,0,0.021006,0.05253,27.134,ok,
EP-4634436-A1,semantic,random_existing,fr,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,Quel protocole de validation applique-t-on suite à la substitution de composants détériorés pour garantir l'absence de pannes résiduelles ?,l'exécution d'un deuxième test pour évaluer s'il reste au moins une autre cellule endommagée,application,33,14,19,3,2808,2575,2310,0.027387,5108,594,0,0.024234,0.051621,25.311,ok,
WO-2025215167-A1,semantic,random_existing,de,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,"Mit welcher Methode lässt sich eine nanostrukturierte Beschichtung auf Zirconiumbasis herstellen, die gleichmäßig verteilte Quantensensoren enthält?",durch einen Sol-Gel-Prozess aus einer flüssigen Phase mit darin verteilten dotierten Nanodiamanten auf einem Substrat abgeschieden,solution,32,14,18,3,2700,2685,2365,0.028215,5034,662,0,0.025032,0.053247,30.453,ok,
MX-2025004470-A,semantic,random_existing,en,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,How does the reaction vessel design counteract temperature drop during the endothermic conversion process?,heating the heated paraffinic feedstock in the first dehydrogenation reactor using the at least one first electrical heating element,problem,33,13,20,3,2530,2100,1882,0.022695,5020,590,0,0.02391,0.046605,22.038,ok,
WO-2025177605-A1,technical,random_existing,fr,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,Quelle méthode de soudage est utilisée pour assembler le matériau de base de la cornue ?,soudage au plasma,method,36,15,21,3,2770,2951,2763,0.030714,5127,456,0,0.022221,0.052935,29.022,ok,
