publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025009131-A,technical,random_missing,zh,gpt-5.4-mini,anthropic/claude-sonnet-4.6,用于把腔体加压到高压的流体是什么？,超临界流体,material,34,15,19,3,2596,1230,1076,0.007482,4615,447,0,0.02055,0.028032,15.419,ok,
WO-2022005333-A1,semantic,random_existing,en,gpt-5.4-mini,anthropic/claude-sonnet-4.6,How can low-value olefin-rich byproduct streams be converted into gasoline with higher octane and yield?,"The method makes it possible to produce gasolines using low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction, and to increase the octane rating of the product to 95-98 at a product yield of more than 70 wt%, while also reducing the diesel fraction content to less than 2 wt%",problem,36,14,22,3,2690,1293,974,0.007836,5676,527,0,0.024933,0.032769,18.627,ok,
EP-4627881-A1,semantic,forced_zh,zh,gpt-5.4-mini,anthropic/claude-sonnet-4.6,如果要把多个等离子火焰发生装置组合起来，相关的等离子生成单元是怎样构成的？,"eine Plasmaerzeugungseinrichtung (100) umfassend mehrere Vorrichtungen (10, 10a, 10b)",solution,33,15,18,3,2877,773,510,0.005636,5220,570,0,0.02421,0.029846,15.496,ok,
MX-2025007206-A,technical,random_missing,de,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Bei welcher Temperatur können die rAAV-Formulierungen längerfristig gelagert werden?,bei Temperaturen über -80 °C,parameter_or_condition,36,15,21,3,2434,2471,2305,0.012945,4377,543,0,0.021276,0.034221,25.872,ok,
MX-2025010190-A,technical,random_existing,en,gpt-5.4-mini,anthropic/claude-sonnet-4.6,What do the polynucleotides encode?,the recombinant polypeptides,structure,30,15,15,3,2300,647,512,0.004636,4769,519,0,0.022092,0.026729,12.444,ok,
MX-2025005046-A,semantic,all,de,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Wie kann UV-Licht zusammen mit Magnetfeldern die Bildung reaktiver Sauerstoffformen für die Wasserreinigung fördern?,"Die UV-Strahlungs-Reflexionsabdeckung ist so ausgelegt, dass sie die Wechselwirkung von UV-Strahlung mit Sauerstoffmolekülen in der einströmenden Luft verstärkt. Das Doppelringpaar aus Magneten intensiviert die lokalen Magnetfelder und erhöht die Anzahl und mittlere Lebensdauer radikalisierter Sauerstoffmoleküle und verbessert die Wasserreinigung.",solution,33,12,21,3,2704,1591,1238,0.009187,5244,583,0,0.024477,0.033664,25.049,ok,
WO-2025207810-A1,technical,random_missing,zh,gpt-5.4-mini,anthropic/claude-sonnet-4.6,错误校验 barcode nucleotide sequences 基于什么编码？,Hamming codes,material,32,15,17,3,2543,2898,2714,0.014948,4593,465,0,0.020754,0.035702,26.976,ok,
EP-4627127-A1,technical,random_missing,de,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Welcher Werkstoff wird gegossen?,eine Aluminiumlegierung,material,31,14,17,3,2441,2090,1950,0.011236,4431,533,0,0.021288,0.032524,20.833,ok,
EP-4633645-A1,technical,random_any,fr,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Quelle caractéristique de phosphorylation est associée aux maladies neurodégénératives visées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65,parameter_or_condition,33,15,18,3,2380,1195,1010,0.007163,4385,538,0,0.021225,0.028388,18.161,ok,
MX-2025007510-A,semantic,random_any,es,gpt-5.4-mini,anthropic/claude-sonnet-4.6,¿Qué tipo de formulación se usa para encapsular un fármaco de ácido débil de vida media corta?,"una composición farmacéutica que contiene liposomas, el liposoma comprende una bicapa de lípido externa; y un medio acuoso interno que incluye 5 un fármaco de ácido débil con una vida media de menos de 2 hours.",solution,28,11,17,3,2402,1139,907,0.006927,4356,656,0,0.022908,0.029835,19.516,ok,
EP-4577789-A1,technical,random_existing,zh,gpt-5.4-mini,anthropic/claude-sonnet-4.6,冷却气体管道把冷却气体从哪里引导到哪里？,从冷却区 (22) 引导至预热区 (21),method,33,15,18,3,3987,938,764,0.007211,8197,448,0,0.031311,0.038522,15.764,ok,
WO-2025212655-A1,semantic,random_any,de,gpt-5.4-mini,anthropic/claude-sonnet-4.6,"Wie werden die Amplifikationsprodukte so verdichtet, dass sie fest auf dem Träger verbleiben?","concatemer template molecules, die zu compact DNA nanoballs kollabieren und stabil auf einem support immobilisiert sind",solution,32,12,20,3,2751,1707,1472,0.009745,5074,580,0,0.023922,0.033667,21.341,ok,
WO-2025202347-A1,semantic,random_missing,de,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Welche Art von Augenleiden soll mit einer iota-carrageenan-basierten Formulierung behandelt oder verhindert werden?,"nicht allergische, nicht virale klinisch relevante Augenbeschwerden, die mindestens eines der folgenden Bereiche betreffen: die Schleimhautgewebe am oder um das Auge, die Augenoberfläche, das Hornhautgewebe und die Flüssigkeit im Auge",problem,31,12,19,3,2952,753,482,0.005602,5722,572,0,0.025746,0.031349,16.049,ok,
MX-2025006624-A,semantic,random_any,fr,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Comment rendre un revêtement durcissable par radiation actinique tout en utilisant un monomère issu d’un glycol biobasé ?,une composition de revêtement durcissable par radiation actinique comprenant de 10 wt% à 90 wt% d’un composé A de poly(trimethylene ether) (meth)acrylate,application,31,12,19,3,2811,2832,2560,0.014852,5232,611,0,0.024861,0.039713,31.919,ok,
WO-2025187661-A8,semantic,random_missing,es,gpt-5.4-mini,anthropic/claude-sonnet-4.6,¿Cómo se puede evitar que una resina de poly(arylene sulfide) reciclada genere rebabas?,"que, durante el reciclaje, puede ser impedida de formar burrs",problem,29,10,19,3,2450,1172,950,0.007111,4366,598,0,0.022068,0.029179,20.489,ok,
EP-4633791-A1,semantic,forced_zh,zh,gpt-5.4-mini,anthropic/claude-sonnet-4.6,这类带香味的消费品更偏向哪些日常护理场景？,家居护理或个人护理产品,application,32,15,17,3,2550,1928,1740,0.010588,4170,512,0,0.02019,0.030779,36.083,ok,
EP-4634436-A1,semantic,random_existing,fr,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Quelle stratégie de vérification utilise une injection de gaz inertes des deux côtés d'une cellule pour confirmer une cellule défectueuse ?,au moins l'un du ou des premiers tests sur la base d'une injection de gaz inertes au niveau d'une anode et au niveau d'une cathode de chaque cellule,solution,34,14,20,3,2748,735,487,0.005369,5072,475,0,0.022341,0.027709,15.382,ok,
WO-2025215167-A1,semantic,random_existing,de,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Wie kann man Quantensensoren direkt in eine ZrO2-Beschichtung auf einem Träger integrieren?,"eine Beschichtung aus Zirconium(IV)-oxid, welche durch einen Sol-Gel-Prozess aus einer flüssigen Phase mit darin verteilten dotierten Nanodiamanten auf einem Substrat abgeschieden",application,33,14,19,3,2653,1524,1201,0.008848,5024,583,0,0.023817,0.032665,22.693,ok,
MX-2025004470-A,semantic,random_existing,en,gpt-5.4-mini,anthropic/claude-sonnet-4.6,How is a paraffinic feedstock brought up to dehydrogenation temperature before entering the reactor?,combusting the fuel gas stream in the dehydrogenation reactor preheater and heating the paraffinic hydrocarbon feedstock to a temperature in the range of 500-650Â°C,solution,32,13,19,3,2532,1717,1503,0.009626,4980,572,0,0.02352,0.033146,24.49,ok,
WO-2025177605-A1,technical,random_existing,fr,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Quel type de soudage est utilisé pour joindre la partie de jonction du matériau de base ?,soudage au plasma,method,35,15,20,3,2702,898,736,0.006067,5077,483,0,0.022476,0.028543,16.568,ok,
