publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025005046-A,semantic,all,de,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Wie lässt sich die Bildung reaktiver Sauerstoffspezies durch UV-Strahlung in einem Wassersystem gezielt verstärken?,"Die UV-Strahlungsreflektionsabdeckung ist konfiguriert, um die Interaktion der UV-Strahlung mit Sauerstoffmolekülen in der eintretenden Luft zu verstärken.",application,36,15,21,3,2956,2628,2268,0.010131,5254,578,0,0.024432,0.034563,25.401,ok,
WO-2025207810-A1,technical,random_missing,zh,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,错误检查条形码核苷酸序列基于什么？,Hamming codes,material,36,15,21,3,2413,3078,2945,0.010577,4633,470,0,0.020949,0.031526,38.705,ok,
EP-4627127-A1,technical,random_missing,de,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Welche Verarbeitungsschritte werden bei Aluminiumlegierungsprodukten durchgeführt?,Gießen einer Aluminiumlegierung und Durchführung von maßgeschneidertem Walzen und nachgelagerten thermischen Verarbeitungsschritten,method,28,13,15,3,2688,2562,2382,0.009631,4633,564,0,0.022359,0.03199,32.683,ok,
EP-4633645-A1,technical,random_any,fr,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Quel niveau de phosphorylation de l'ubiquitine Ser65 caractérise les maladies neurodégénératives traitées ?,niveau élevé,outcome,33,15,18,3,2460,2194,2067,0.008426,4319,445,0,0.019632,0.028058,27.231,ok,
MX-2025007510-A,semantic,random_any,es,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Manera de bajar la frecuencia con que se administra medicación a pacientes con hipertensión pulmonar,para tratar hipertensión pulmonar con frecuencia de dosificación reducida,application,32,13,19,3,2488,3229,3034,0.011048,4336,668,0,0.023028,0.034076,40.826,ok,
EP-4577789-A1,technical,random_existing,zh,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,冷却气体如何从冷却区引导至预热区？,经由冷气管道 (44) 被引导至预热区 (21),method,32,14,18,3,3813,1511,1388,0.008409,8191,456,0,0.031413,0.039822,22.688,ok,
WO-2025212655-A1,semantic,random_any,de,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,"Welcher Amplifikationsmechanismus auf einem Träger mit gemischten Primern erzeugt kompakte, stabil haftende DNA-Strukturen?","In einigen Ausführungsformen können die Concatemer template molecules durch Durchführung von Rolling circle amplification Reaktionen auf einem Support erzeugt werden, der eine Mischung aus immobilisierten Capture- und Pinning-Primern umfasst.",solution,33,13,20,3,2983,2657,2349,0.010237,5378,617,0,0.025389,0.035626,39.13,ok,
WO-2025202347-A1,semantic,random_missing,de,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,"Wie lassen sich Augenirritationen durch luftgetragene Partikel, die keine Allergene sind, gezielt behandeln?",iota-Carrageenan als Haupt- oder alleiniger Wirkstoff in einer wässrigen pharmazeutischen Zusammensetzung zur Prävention oder Behandlung von Reizungen verursacht durch luftgetragene Partikelmasse außer Allergenen.,problem,34,13,21,3,3150,3761,3346,0.013206,6044,647,0,0.027837,0.041043,54.198,ok,
MX-2025006624-A,semantic,random_any,fr,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Existe-t-il des revêtements polymérisables par actinique qui incorporent des matériaux d'origine biologique tout en maintenant des propriétés de mise en œuvre industrielles ?,composition de revêtement curable par radiation actinique qui comprend de 10 % en poids à 90 % en poids d'un composé A et entre 10 % en poids et 89.99 % en poids d'un composé B,application,31,12,19,3,2881,2826,2509,0.010532,5504,600,0,0.025512,0.036044,32.703,ok,
WO-2025187661-A8,semantic,random_missing,es,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,¿Cómo se puede evitar la formación de rebabas durante el reciclaje de resinas de poly(arylene sulfide)?,"una composición de resina de poly(arylene sulfide) que, durante el reciclaje, puede ser inhibida de formar rebabas",problem,31,11,20,3,2531,2682,2475,0.009734,4434,613,0,0.022497,0.032231,31.399,ok,
EP-4633791-A1,semantic,forced_zh,zh,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,蛋白质基微胶囊适合加入到哪些家用或个人护理产品中发挥作用？,香味组合物和包含所述微胶囊的消费产品，特别是以家用护理或个人护理产品形式存在的香味消费产品,application,28,13,15,3,2361,2555,2397,0.009204,4280,638,0,0.02241,0.031614,42.137,ok,
EP-4634436-A1,semantic,random_existing,fr,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Comment des gaz inertes injectés aux deux pôles d'une cellule peuvent-ils servir à valider l'existence réelle de membranes défectueuses ?,au moins l'un du ou des premiers tests sur la base d'une injection de gaz inertes au niveau d'une anode et au niveau d'une cathode de chaque cellule,solution,33,12,21,3,2809,2262,2011,0.009032,5214,566,0,0.024132,0.033164,40.096,ok,
WO-2025215167-A1,semantic,random_existing,de,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Wie können Quantensensoren dauerhaft in eine keramische Oxid-Schicht auf Oberflächen eingebracht werden?,"Die Erfindung betrifft eine Beschichtung aus Zirconium(IV)-oxid, welche durch einen Sol-Gel-Prozess aus einer flüssigen Phase mit darin verteilten dotierten Nanodiamanten auf einem Substrat abgeschieden und nach Ihrer Trocknung durch einen Kalzinierungsprozess bei erhöhter Temperatur in einen kristallinen Zustand überfuhrt wird, in dem das Zirconium(IV)-oxid zum überwiegendem Anteil in seiner tetragonalen Phase vorliegt.",application,34,12,22,3,2907,4040,3598,0.013599,5400,597,0,0.025155,0.038754,49.551,ok,
MX-2025004470-A,semantic,random_existing,en,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,How can electric heating be combined with catalysis inside a dehydrogenation reactor?,"heating the heated paraffinic feedstock in the first dehydrogenation reactor using the at least one first electrical heating element, and contacting the heated paraffinic feedstock with the active dehydrogenation catalyst and the at least one electrical heating element thereby producing an olefinic product stream comprising one or more olefins.",solution,33,12,21,3,2567,3002,2783,0.010579,5136,654,0,0.025218,0.035797,42.676,ok,
WO-2025177605-A1,technical,random_existing,fr,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Quelle est la teneur minimale en Al de l'alliage à base de Ni ?,"2,0% en poids ou plus d'Al",material,36,14,22,3,2793,2958,2832,0.010752,5071,465,0,0.022188,0.03294,39.382,ok,
