publication_number,source_title,source_abstract,zh_title,zh_abstract,prompt_tokens,completion_tokens,reasoning_tokens,cached_tokens,total_tokens,cost_usd,latency_s,status,error
WO-2025210949-A1,"LABELED COLLAGEN IVα1 PROTEIN, LABELED COLLAGEN IVα2 PROTEIN, NUCLEIC ACIDS ENCODING SAID PROTEINS, AND ANIMALS HAVING SAID NUCLEIC ACIDS",The present disclosure relates to: a labeled collagen IVα1 protein; a labeled collagen IVα2 protein; nucleic acids encoding said proteins; and animals having said nucleic acids. The present disclosure also relates to a method for observing the labeled collagen IVα1 protein or the labeled collagen IVα2 protein in the animals.,标记的 collagen IVα1 protein、标记的 collagen IVα2 protein、编码所述蛋白质的核酸以及具有所述核酸的动物,本公开涉及：一种标记的 collagen IVα1 protein；一种标记的 collagen IVα2 protein；编码所述蛋白质的核酸；以及具有所述核酸的动物。本公开还涉及一种在动物中观察标记的 collagen IVα1 protein 或标记的 collagen IVα2 protein 的方法。,564,915,900,0,1479,0.0005055,48.631,ok,
WO-2025186695-A8,"Multifunctional device, device holder, kit, use of bioactive factors isolated and purified from colostrum, method for preparing enriched autologous platelet concentrates","The present invention relates to a multifunctional device (1) for collecting a biological fluid, for example whole blood, comprising: a tubular container (2) delimiting an open container end (3), a cap (5), wherein the cap (5) is fluid-tightly connected to the tubular container (2), closing the open container end (3) so that the tubular container (2) and the cap (5) enclose a collection chamber (4) configured to be depressurized and/or filled with the biological fluid, wherein the cap (5) comprises: a cap body (6) connected to the tubular fluid-tight container (2), a reversible access device (7), wherein the reversible access device (7) is fluid-tightly connected to the cap body (6), wherein the reversible access device (7) is configured to allow a reversible fluid-tight access to the collection chamber (4) without separating the cap (5) from the tubular container (2) to depressurize the collection chamber and/or collect the biological fluid in the collection chamber (4) and/or extract the biological fluid from the collection chamber (4), the cap (5) comprising at least one reservoir (8, 8') fluid-tightly connected to the cap body (6), wherein each reservoir (8, 8') delimits a respective containment chamber (9) configured to contain at least one mixing substance, wherein each reservoir (8, 8') is in a closed configuration in which the respective containment chamber (9) is fluidly isolated from the collection chamber (4), wherein each reservoir (8, 8') is configured to be operated and opened on command, switching from the closed configuration to an open configuration in which the respective containment chamber (9) is open and in communication with the collection chamber (4) keeping the cap (5) fluid-tightly connected to the tubular container (2).",多功能装置、装置持有器、套件、从初乳中分离和纯化的生物活性因子的用途、制备富集自源性血小板浓缩的方法,"本发明涉及一种用于收集生物流体（例如全血）的多功能装置 (1)，其包括：界定开放容器端 (3) 的管状容器 (2)，以及帽 (5)，其中所述帽 (5) 与所述管状容器 (2) 流体密封地连接，从而关闭所述开放容器端 (3)，使得所述管状容器 (2) 和所述帽 (5) 围成一个配置为可减压和/或填充所述生物流体的收集腔 (4)，其中所述帽 (5) 包括：连接至所述管状流体密封容器 (2) 的帽体 (6) 和可逆接入装置 (7)，其中所述可逆接入装置 (7) 与所述帽体 (6) 流体密封地连接，其中所述可逆接入装置 (7) 配置为在不将所述帽 (5) 从所述管状容器 (2) 分离的情况下，允许可逆地流体密封地接入所述收集腔 (4)，以对所述收集腔进行减压和/或在所述收集腔 (4) 中收集所述生物流体和/或从所述收集腔 (4) 中提取所述生物流体，所述帽 (5) 包括至少一个与所述帽体 (6) 流体密封地连接的储液槽 (8, 8')，其中每个储液槽 (8, 8') 界定一个配置为容纳至少一种混合物质的相应容纳腔 (9)，其中每个储液槽 (8, 8') 处于关闭配置，在该关闭配置中，相应的容纳腔 (9) 与所述收集腔 (4) 流体隔离，其中每个储液槽 (8, 8') 配置为根据指令进行操作并开启，从而从所述关闭配置切换至开启配置，在所述开启配置中，相应的容纳腔 (9) 开启并与所述收集腔 (4) 连通，同时保持所述帽 (5) 与所述管状容器 (2) 流体密封地连接。",872,2780,2586,0,3652,0.00123408,99.661,ok,
EP-4584229-A1,Amino compound-containing dispersion powder compositions,"The invention relates to water-redispersible dispersion powder compositions (dispersion powder compositions) based on copolymers of a) vinyl acetate, b) ethylene, c) optionally one or more auxiliary monomers, and d) optionally one or more additional ethylenically unsaturated monomers. The invention is characterized in that one or more amino compounds (nitrogen compounds) selected from the group comprising polyoxyalkylene amines, polyethylene imines, aliphatic polyamines, and compounds of the formula R-NR'H are contained, wherein in the formula R-NR'H, the group R represents a linear or branched and optionally substituted hydrocarbon group with 1 to 20 carbon atoms and R' is a hydrogen atom, an NH 2 group, or a carbonyl group, with the proviso that the auxiliary monomers c) are selected from the group comprising ethylenically unsaturated mono- and dicarboxylic acids, ethylenically unsaturated carboxylic acid nitriles, acrylamide (CH 2 CHCONH 2 ), ethylenically unsaturated sulfonic acids, ethylenically unsaturated silicon-functional monomers, and hydroxyethyl, hydroxypropyl, or hydroxybutyl acrylate or methacrylate; the additional ethylenically unsaturated monomers d) are selected from the group comprising methyl acrylate, methyl methacrylate, ethyl acrylate, ethyl methacrylate, propyl acrylate, propyl methacrylate, n-butyl acrylate, n-butyl methacrylate, 2-ethylhexyl acrylate, norbornyl acrylate, vinyl aromatics, and vinyl halides; and the water-redispersible dispersion powder compositions do not contain epoxide group-containing compounds (epoxide compounds).",含氨基化合物的分散粉末组合物,"本发明涉及基于 a) vinyl acetate、b) ethylene、c) 可选地一种或多种辅助单体以及 d) 可选地一种或多种额外的乙烯基不饱和单体的共聚物的水可再分散的分散粉末组合物（dispersion powder compositions）。本发明的特征在于，其包含选自包含 polyoxyalkylene amines、polyethylene imines、aliphatic polyamines 以及通式 R-NR'H 的化合物的组的一种或多种氨基化合物（氮化合物），其中在通式 R-NR'H 中，基团 R 代表具有 1 to 20 个碳原子的线性或支链且可选地被取代的烃基，且 R' 是氢原子、NH 2 基团或羰基，但前提是辅助单体 c) 选自包含 ethylenically unsaturated mono- and dicarboxylic acids、ethylenically unsaturated carboxylic acid nitriles、acrylamide (CH 2 CHCONH 2 )、ethylenically unsaturated sulfonic acids、ethylenically unsaturated silicon-functional monomers 以及 hydroxyethyl, hydroxypropyl 或 hydroxybutyl acrylate 或 methacrylate 的组；额外的乙烯基不饱和单体 d) 选自包含 methyl acrylate、methyl methacrylate、ethyl acrylate、ethyl methacrylate、propyl acrylate、propyl methacrylate、n-butyl acrylate、n-butyl methacrylate、2-ethylhexyl acrylate、norbornyl acrylate、vinyl aromatics 以及 vinyl halides 的组；且所述水可再分散的分散粉末组合物不含含环氧基的化合物（epoxide compounds）。",776,2780,2848,0,3556,0.00115728,115.102,ok,
EP-4577666-A1,"Process for the production of (1r,2s)-2,6-dimethyl-1-indanamine using dynamic kinetic stereoisomer resolution","Described is a process for producing nearly enantiomerically pure (1R,2S)-2,6-dimethyl-1-indanamine, said process being characterized by the reaction of a mixture of the four stereoisomers of 2,6-dimethyl-1-indanamine with an acylating or carboxylating agent in the presence of a protein with lipase activity and being carried out using dynamic kinetic stereoisomer resolution.","使用动态动力学立体异构体拆分生产 (1r,2s)-2,6-dimethyl-1-indanamine 的工艺","描述了一种生产近对映体纯 (1R,2S)-2,6-dimethyl-1-indanamine 的工艺，该工艺的特征在于，在具有脂肪酶活性的蛋白质存在下，使 2,6-dimethyl-1-indanamine 的四种立体异构体混合物与酰基化或羧基化试剂反应，并且采用动态动力学立体异构体拆分来实施。",572,1145,1020,8,1717,0.00054308,35.364,ok,
EP-4633583-A1,Semi-permanent smoothing hair composition and uses thereof,"Provided herein are catalyst cream base compositions and activator compositions, kits comprising the same and methods of use thereof. The catalyst cream base composition can comprise calcium hydroxide and a silicone blocker and the activator compositions can comprise guanidine hydrochloride. The compositions can be used for the preparation of smoothing compositions. The methods of use can comprise methods of semi-permanently smoothing hair. The kits can comprise catalyst cream base compositions and activator compositions and instructions to use the same for semi-permanently smoothing hair.",半永久性头发顺滑组合物及其用途,本文提供了催化剂乳霜基底组合物和活化剂组合物、包含上述组合物的套件及其使用方法。该催化剂乳霜基底组合物可包含 calcium hydroxide 和 silicone blocker，且该活化剂组合物可包含 guanidine hydrochloride。这些组合物可用于制备顺滑组合物。使用方法可包含半永久性地使头发顺滑的方法。套件可包含催化剂乳霜基底组合物和活化剂组合物，以及将上述组合物用于半永久性地使头发顺滑的使用说明。,587,1615,1769,0,2202,0.00072818,21.964,ok,
MX-2025009468-A,Low temperature curing composition for rubber based adhesives and sealants,"The invention relates to a rubber-based composition that can be thermally cured at reduced temperature while retaining performance over a broad cure temperature window comprising at least one solid rubber, at least one diene-based polymer or copolymer containing an olefinic double bond and/or an aromatically substituted olefin, suitable for undergoing curing with a curing system present as quinone dioxime, peroxides and optional multifunctional acrylates, preferably in the absence of elemental sulfur. The cured composition exhibits improved reversion resistance and adhesion strength on aluminum.",用于橡胶基粘合剂和密封剂的低温固化组合物,本发明涉及一种橡胶基组合物，其可以在降低的温度下进行热固化，同时在宽固化温度窗口内保持性能，该组合物包含至少一种 solid rubber，至少一种含有 olefinic double bond 和/或 aromatically substituted olefin 的 diene-based polymer 或 copolymer，适用于使用固化体系进行固化，所述固化体系为 quinone dioxime、peroxides 以及可选的 multifunctional acrylates，优选在不存在 elemental sulfur 的情况下。固化后的组合物在 aluminum 上的 reversion resistance 和 adhesion strength 得到提高。,567,2152,2366,442,2719,0.00090607,67.775,ok,
MX-2025010613-A,"Biodegradable, industrially compostable, and recyclable injection molded microcellular flexible foams","This document discloses a process for manufacturing recyclable injection molded microcellular foams for use in, footwear components, seating components, protective gear components, and watersport accessories. The process includes the steps of providing a thermoplastic polymer which comprises at least one monomer derived from depolymerized post-consumer plastic, inserting a fluid into a barrel of a molding apparatus. The fluid is introduced under temperature and pressure conditions to produce a super critical fluid. The process further includes mixing the thermoplastic polymer and super critical fluid so as to create a single phase solution, and injecting the single phase solution into a mold of an injection molding machine under gas counter pressure. The process further includes foaming the single phase solution by controlling the head and temperature conditions within the mold.",生物可降解、工业可堆肥且可回收的注塑成型微孔柔性泡沫,本文档公开了一种制造可回收注塑成型微孔泡沫的工艺，用于鞋类组件、座椅组件、防护装备组件和水上运动配件。该工艺包括以下步骤：提供一种包含至少一种源自解聚后消费塑料的单体的热塑性聚合物，将流体注入成型装置的料筒中。在温度和压力条件下引入该流体以产生超临界流体。该工艺还包括将热塑性聚合物与超临界流体混合以创建单相溶液，并将该单相溶液在气体反压下注入注塑机的模具中。该工艺还包括通过控制模具内的头部和温度条件使该单相溶液发泡。,616,1340,1413,0,1956,0.00056972,52.327,ok,
WO-2025203849-A1,Ferritic stainless steel for ammonia combustion environment,"The purpose of the present invention is to provide a ferritic stainless steel for an NH3 combustion environment and having excellent high-temperature NH3 resistance in an NH3 combustion environment in which high-temperature NH3 is included. This ferritic stainless steel for an NH3 combustion environment has a component composition which contains, in mass%, 0.020% or less of C, 0.05-2.50% of Si, 0.05-2.00% of Mn, 0.050% or less of P, 0.010% or less of S, 0.20-6.00% of Al, 0.020% or less of N, and 12.0-25.0% of Cr, and in which the remaining portion includes Fe and unavoidable impurities.",用于氨燃烧环境的铁素体不锈钢,本发明的目的是提供一种用于 NH3 燃烧环境的铁素体不锈钢，且在包含高温 NH3 的 NH3 燃烧环境中具有优异的高温 NH3 抗性。这种用于 NH3 燃烧环境的铁素体不锈钢具有以下成分组成，按 mass% 计，包含 0.020% 或更少的 C，0.05-2.50% 的 Si，0.05-2.00% 的 Mn，0.050% 或更少的 P，0.010% 或更少的 S，0.20-6.00% 的 Al，0.020% 或更少的 N，以及 12.0-25.0% 的 Cr，且其中剩余部分包括 Fe 和不可避免的杂质。,645,1286,973,0,1931,0.00059825,18.124,ok,
WO-2025212071-A1,A solid dispersion of enzalutamide,"The present invention relates to a solid dispersion comprising enzalutamide or its pharmaceutically acceptable salts, hydroxypropyl methylcellulose phthalate (HPMCP), soluplus® (polyvinyl caprolactam-polyvinyl acetate-polyethylene glycol), surfactant, and optionally at least one pharmaceutically acceptable excipient. The present invention also relates to a pharmaceutical composition comprising the solid dispersion of enzalutamide and its use for treating prostate cancer. The present invention further relates to a process for preparation of the solid dispersion of enzalutamide and the pharmaceutical composition comprising the solid dispersion of enzalutamide.",enzalutamide 的一种固体分散体,本发明涉及一种固体分散体，其包含 enzalutamide 或其药学上可接受的盐，hydroxypropyl methylcellulose phthalate (HPMCP)，soluplus® (polyvinyl caprolactam-polyvinyl acetate-polyethylene glycol)，表面活性剂，以及可选地至少一种药学上可接受的辅料。本发明还涉及一种包含 enzalutamide 固体分散体的药物组合物及其在治疗前列腺癌中的用途。本发明进一步涉及 enzalutamide 固体分散体的制备工艺以及包含 enzalutamide 固体分散体的药物组合物的制备工艺。,584,1202,0,0,1786,0.00051482,39.838,ok,
EP-4566167-A1,Shaped body and method for a photovoltaic module,"The invention relates to a shaped body (6, 7) for producing a photovoltaic module, in particular a thermal photovoltaic module (4), comprising: - an upper face (11) which is concavely or convexly curved in a height direction (Z) in order to bend a layer stack (12) comprising at least two layers (1, 2, 3) for the photovoltaic module (4). The invention also relates to a method for processing a layer stack (12) for a photovoltaic module.",用于光伏组件的成型体及其方法,"本发明涉及一种用于生产光伏组件，特别是热光伏组件 (4) 的成型体 (6, 7)，其包括：- 一个在高度方向 (Z) 上呈凹形或凸形弯曲的上表面 (11)，以便使用于该光伏组件 (4) 且包括至少两个层 (1, 2, 3) 的层叠体 (12) 弯曲。本发明还涉及一种用于光伏组件的层叠体 (12) 的处理方法。",598,1138,995,0,1736,0.00047006,21.089,ok,
WO-2025207441-A1,"Process for producing fuel, base oils, and/or chemicals from renewable feedstocks",A renewable feedstock is pretreated and then hydrotreated to produce an effluent. The effluent is separated into a liquid stream and an offgas stream. At least one of the offgas streams comprises hydrogen sulphide. The offgas stream is passed to a biological desulfurization unit where a majority of the hydrogen sulphide is converted to bio-sulphur. At least a portion of the bio-sulphur is recycled to the pretreating step.,从可再生原料制备燃料、基础油和/或化学品的方法,对可再生原料进行预处理，然后进行加氢处理以产生流出物。将所述流出物分离成液流和尾气流。至少一个尾气流包含 hydrogen sulphide。将尾气流送至生物脱硫单元，在该单元中，大部分 hydrogen sulphide 被转化为 bio-sulphur。至少一部分 bio-sulphur 被回收至预处理步骤。,557,1992,2116,6,2549,0.00087981,79.65,ok,
MX-2025008102-A,Plant microbes and uses thereof,"Provided herein are compositions and methods for use in challenging pathogenic bacteria on plants. Optional features include modification of a donor bacteria to include exogenous nucleic acids encoding for conjugation machinery and gene modification components, such as guide sequence for use in CRISPR. The compositions and methods provided herein can be used for delivery to a wide variety of crops and for targeting one or more pathogens.",植物微生物及其用途,本文提供了用于对抗植物上病原菌的组合物和方法。可选特征包括对供体细菌进行修饰，以包含编码接合机制和基因修饰组件（例如用于 CRISPR 的指导序列）的外源核酸。本文提供的组合物和方法可用于递送到多种作物以及靶向一种或多种病原体。,530,932,1027,0,1462,0.00040844,16.708,ok,
WO-2025216961-A1,Recycling of glass-containing pvb wastes via high temperature treatment,"It has been discovered that high volumes of glass particles and valuable recycled content products may be directly derived from waste PVB-containing compositions, such as interlayers. More particularly, one or more valuable recycled content products and glass particles can be consistently recovered from the high temperature treatment of waste PVB-containing compositions. Consequently, one can optimize recovery and utilization of recycled content products from waste PVB-containing compositions.",通过高温处理回收含玻璃的 PVB 废料,发现大量玻璃颗粒和有价值的回收成分产物可以直接从含 PVB 的废物组分（例如中间层）中获得。更具体地，可以通过对含 PVB 的废物组分进行高温处理，一致地回收一个或多个有价值的回收成分产物和玻璃颗粒。因此，可以优化从含 PVB 的废物组分中回收成分产物的回收和利用。,549,1094,1168,0,1643,0.00048709,44.548,ok,
WO-2025206141-A1,"Conductive particles, conductive material, and connection structure","Provided are conductive particles capable of exhibiting low dielectric properties. These conductive particles comprise base material particles, and a conductive layer disposed on the surface of the base material particles. The base material particles are a polymer of polymerizable components. The polymerizable components include a polymerizable compound having one or more maleimide groups. Of the 100 wt% of the polymerizable components, the content of the polymerizable compound having one or more maleimide groups is 10 wt% or more and 80 wt% or less. The dielectric constant of the base material particles is 2.80 F/m or less, and the dielectric loss tangent of the base material particles is 0.01 or less.",导电粒子、导电材料及连接结构,提供了能够表现出低介电特性的导电粒子。这些导电粒子包含基材粒子以及布置在基材粒子表面的导电层。基材粒子是可聚合组分的聚合物。可聚合组分包括具有 1 个或多个 maleimide 基团的可聚合化合物。在可聚合组分的 100 wt% 中，具有 1 个或多个 maleimide 基团的可聚合化合物的含量为 10 wt% 或更多且 80 wt% 或更少。基材粒子的介电常数为 2.80 F/m 或更低，且基材粒子的介电损耗正切为 0.01 或更低。,638,1897,1886,0,2535,0.00074051,33.482,ok,
