publication_number,source_title,source_abstract,zh_title,zh_abstract,prompt_tokens,completion_tokens,reasoning_tokens,cached_tokens,total_tokens,cost_usd,latency_s,status,error
WO-2025210949-A1,"LABELED COLLAGEN IVα1 PROTEIN, LABELED COLLAGEN IVα2 PROTEIN, NUCLEIC ACIDS ENCODING SAID PROTEINS, AND ANIMALS HAVING SAID NUCLEIC ACIDS",The present disclosure relates to: a labeled collagen IVα1 protein; a labeled collagen IVα2 protein; nucleic acids encoding said proteins; and animals having said nucleic acids. The present disclosure also relates to a method for observing the labeled collagen IVα1 protein or the labeled collagen IVα2 protein in the animals.,标记的胶原蛋白IVα1蛋白、标记的胶原蛋白IVα2蛋白、编码所述蛋白的核酸以及具有所述核酸的动物,本公开涉及：标记的胶原蛋白IVα1蛋白；标记的胶原蛋白IVα2蛋白；编码所述蛋白的核酸；以及具有所述核酸的动物。本公开还涉及一种在所述动物中观察标记的胶原蛋白IVα1蛋白或标记的胶原蛋白IVα2蛋白的方法。,573,1090,983,0,1663,0.00480375,20.721,ok,
WO-2025186695-A8,"Multifunctional device, device holder, kit, use of bioactive factors isolated and purified from colostrum, method for preparing enriched autologous platelet concentrates","The present invention relates to a multifunctional device (1) for collecting a biological fluid, for example whole blood, comprising: a tubular container (2) delimiting an open container end (3), a cap (5), wherein the cap (5) is fluid-tightly connected to the tubular container (2), closing the open container end (3) so that the tubular container (2) and the cap (5) enclose a collection chamber (4) configured to be depressurized and/or filled with the biological fluid, wherein the cap (5) comprises: a cap body (6) connected to the tubular fluid-tight container (2), a reversible access device (7), wherein the reversible access device (7) is fluid-tightly connected to the cap body (6), wherein the reversible access device (7) is configured to allow a reversible fluid-tight access to the collection chamber (4) without separating the cap (5) from the tubular container (2) to depressurize the collection chamber and/or collect the biological fluid in the collection chamber (4) and/or extract the biological fluid from the collection chamber (4), the cap (5) comprising at least one reservoir (8, 8') fluid-tightly connected to the cap body (6), wherein each reservoir (8, 8') delimits a respective containment chamber (9) configured to contain at least one mixing substance, wherein each reservoir (8, 8') is in a closed configuration in which the respective containment chamber (9) is fluidly isolated from the collection chamber (4), wherein each reservoir (8, 8') is configured to be operated and opened on command, switching from the closed configuration to an open configuration in which the respective containment chamber (9) is open and in communication with the collection chamber (4) keeping the cap (5) fluid-tightly connected to the tubular container (2).",多功能装置、装置支架、试剂盒、从初乳中分离和纯化的生物活性因子的用途、制备富集自体血小板浓缩物的方法,"本发明涉及一种用于收集生物流体（例如全血）的多功能装置(1)，其包括：限定开放容器端(3)的管状容器(2)、盖(5)，其中所述盖(5)与管状容器(2)流体密封连接，封闭所述开放容器端(3)，使得管状容器(2)和盖(5)围成收集室(4)，所述收集室(4)被配置为可减压和/或填充所述生物流体，其中所述盖(5)包括：与管状流体密封容器(2)连接的盖体(6)、可逆接入装置(7)，其中所述可逆接入装置(7)与盖体(6)流体密封连接，其中所述可逆接入装置(7)被配置为允许在不将盖(5)与管状容器(2)分离的情况下可逆地流体密封接入收集室(4)，以对收集室减压和/或在收集室(4)中收集生物流体和/或从收集室(4)中提取生物流体，所述盖(5)包括至少一个与盖体(6)流体密封连接的储器(8, 8')，其中每个储器(8, 8')限定各自的容纳室(9)，所述容纳室(9)被配置为容纳至少一种混合物质，其中每个储器(8, 8')处于闭合构造，在该闭合构造中，各自的容纳室(9)与收集室(4)流体隔离，其中每个储器(8, 8')被配置为按需操作和打开，从闭合构造切换到开放构造，在该开放构造中，各自的容纳室(9)开放并与收集室(4)连通，同时保持盖(5)与管状容器(2)流体密封连接。",879,2401,1976,0,3280,0.0101025,44.241,ok,
EP-4584229-A1,Amino compound-containing dispersion powder compositions,"The invention relates to water-redispersible dispersion powder compositions (dispersion powder compositions) based on copolymers of a) vinyl acetate, b) ethylene, c) optionally one or more auxiliary monomers, and d) optionally one or more additional ethylenically unsaturated monomers. The invention is characterized in that one or more amino compounds (nitrogen compounds) selected from the group comprising polyoxyalkylene amines, polyethylene imines, aliphatic polyamines, and compounds of the formula R-NR'H are contained, wherein in the formula R-NR'H, the group R represents a linear or branched and optionally substituted hydrocarbon group with 1 to 20 carbon atoms and R' is a hydrogen atom, an NH 2 group, or a carbonyl group, with the proviso that the auxiliary monomers c) are selected from the group comprising ethylenically unsaturated mono- and dicarboxylic acids, ethylenically unsaturated carboxylic acid nitriles, acrylamide (CH 2 CHCONH 2 ), ethylenically unsaturated sulfonic acids, ethylenically unsaturated silicon-functional monomers, and hydroxyethyl, hydroxypropyl, or hydroxybutyl acrylate or methacrylate; the additional ethylenically unsaturated monomers d) are selected from the group comprising methyl acrylate, methyl methacrylate, ethyl acrylate, ethyl methacrylate, propyl acrylate, propyl methacrylate, n-butyl acrylate, n-butyl methacrylate, 2-ethylhexyl acrylate, norbornyl acrylate, vinyl aromatics, and vinyl halides; and the water-redispersible dispersion powder compositions do not contain epoxide group-containing compounds (epoxide compounds).",含氨基化合物的分散粉末组合物,本发明涉及基于a)乙酸乙烯酯、b)乙烯、c)任选的一种或多种辅助单体以及d)任选的一种或多种其他烯属不饱和单体的共聚物的可再分散于水的分散粉末组合物（分散粉末组合物）。本发明的特征在于包含一种或多种氨基化合物（氮化合物），所述氨基化合物选自由聚氧化烯胺、聚乙烯亚胺、脂肪族多胺和式R-NR'H化合物组成的组，其中在式R-NR'H中，基团R代表具有1至20个碳原子的直链或支链且任选取代的烃基，R'为氢原子、NH 2基团或羰基，条件是辅助单体c)选自由烯属不饱和一元和二元羧酸、烯属不饱和羧酸腈、丙烯酰胺(CH 2 CHCONH 2 )、烯属不饱和磺酸、烯属不饱和硅官能单体以及丙烯酸或甲基丙烯酸的羟乙酯、羟丙酯或羟丁酯组成的组；其他烯属不饱和单体d)选自由丙烯酸甲酯、甲基丙烯酸甲酯、丙烯酸乙酯、甲基丙烯酸乙酯、丙烯酸丙酯、甲基丙烯酸丙酯、丙烯酸正丁酯、甲基丙烯酸正丁酯、丙烯酸2-乙基己酯、丙烯酸降冰片酯、乙烯基芳烃和乙烯基卤化物组成的组；并且所述可再分散于水的分散粉末组合物不含含有环氧基团的化合物（环氧化合物）。,848,2606,2269,0,3454,0.0108325,48.134,ok,
EP-4577666-A1,"Process for the production of (1r,2s)-2,6-dimethyl-1-indanamine using dynamic kinetic stereoisomer resolution","Described is a process for producing nearly enantiomerically pure (1R,2S)-2,6-dimethyl-1-indanamine, said process being characterized by the reaction of a mixture of the four stereoisomers of 2,6-dimethyl-1-indanamine with an acylating or carboxylating agent in the presence of a protein with lipase activity and being carried out using dynamic kinetic stereoisomer resolution.","采用动态动力学立体异构体拆分生产(1r,2s)-2,6-dimethyl-1-indanamine的方法","本文描述了一种生产近乎对映体纯的(1R,2S)-2,6-dimethyl-1-indanamine的方法，该方法的特征在于，在具有脂肪酶活性的蛋白质存在下，使2,6-dimethyl-1-indanamine的四种立体异构体混合物与酰化剂或羧化剂发生反应，并采用动态动力学立体异构体拆分技术进行实施。",576,1224,1088,0,1800,0.00531,23.198,ok,
EP-4633583-A1,Semi-permanent smoothing hair composition and uses thereof,"Provided herein are catalyst cream base compositions and activator compositions, kits comprising the same and methods of use thereof. The catalyst cream base composition can comprise calcium hydroxide and a silicone blocker and the activator compositions can comprise guanidine hydrochloride. The compositions can be used for the preparation of smoothing compositions. The methods of use can comprise methods of semi-permanently smoothing hair. The kits can comprise catalyst cream base compositions and activator compositions and instructions to use the same for semi-permanently smoothing hair.",半永久性头发柔顺组合物及其用途,本文提供了催化剂膏霜基质组合物和活化剂组合物、包含它们的套件及其使用方法。所述催化剂膏霜基质组合物可包含氢氧化钙和硅酮封闭剂，所述活化剂组合物可包含盐酸胍。所述组合物可用于制备柔顺组合物。所述使用方法可包括半永久性头发柔顺方法。所述套件可包含催化剂膏霜基质组合物和活化剂组合物，以及用于半永久性头发柔顺的使用说明书。,566,1352,1226,0,1918,0.0057775,25.293,ok,
MX-2025009468-A,Low temperature curing composition for rubber based adhesives and sealants,"The invention relates to a rubber-based composition that can be thermally cured at reduced temperature while retaining performance over a broad cure temperature window comprising at least one solid rubber, at least one diene-based polymer or copolymer containing an olefinic double bond and/or an aromatically substituted olefin, suitable for undergoing curing with a curing system present as quinone dioxime, peroxides and optional multifunctional acrylates, preferably in the absence of elemental sulfur. The cured composition exhibits improved reversion resistance and adhesion strength on aluminum.",用于橡胶基胶粘剂和密封剂的低温固化组合物,本发明涉及一种橡胶基组合物，该组合物能够在降低的温度下热固化，同时在宽泛的固化温度窗口内保持性能，其包含至少一种固体橡胶、至少一种含烯烃双键和/或芳族取代烯烃的二烯基聚合物或共聚物，适于在包含醌二肟、过氧化物和任选的多官能团丙烯酸酯的固化体系存在下进行固化，优选不含单质硫。该固化组合物表现出改善的抗返原性和对铝的粘接强度。,575,1271,1132,0,1846,0.005485,23.962,ok,
MX-2025010613-A,"Biodegradable, industrially compostable, and recyclable injection molded microcellular flexible foams","This document discloses a process for manufacturing recyclable injection molded microcellular foams for use in, footwear components, seating components, protective gear components, and watersport accessories. The process includes the steps of providing a thermoplastic polymer which comprises at least one monomer derived from depolymerized post-consumer plastic, inserting a fluid into a barrel of a molding apparatus. The fluid is introduced under temperature and pressure conditions to produce a super critical fluid. The process further includes mixing the thermoplastic polymer and super critical fluid so as to create a single phase solution, and injecting the single phase solution into a mold of an injection molding machine under gas counter pressure. The process further includes foaming the single phase solution by controlling the head and temperature conditions within the mold.",可生物降解、工业可堆肥且可回收的注塑微孔柔性泡沫,本文件公开了一种制造可回收注塑微孔泡沫的工艺，该泡沫可用于鞋类部件、座椅部件、防护装备部件和水上运动配件。该工艺包括以下步骤：提供包含至少一种源自解聚消费后塑料的单体的热塑性聚合物，将流体注入成型装置的料筒中。在特定的温度和压力条件下引入该流体，以产生超临界流体。该工艺进一步包括：混合热塑性聚合物和超临界流体以形成单相溶液，并在气体反压下将单相溶液注入注塑机的模具中。该工艺进一步包括：通过控制模具内的机头和温度条件，使单相溶液发泡。,628,1592,1427,0,2220,0.006755,29.549,ok,
WO-2025203849-A1,Ferritic stainless steel for ammonia combustion environment,"The purpose of the present invention is to provide a ferritic stainless steel for an NH3 combustion environment and having excellent high-temperature NH3 resistance in an NH3 combustion environment in which high-temperature NH3 is included. This ferritic stainless steel for an NH3 combustion environment has a component composition which contains, in mass%, 0.020% or less of C, 0.05-2.50% of Si, 0.05-2.00% of Mn, 0.050% or less of P, 0.010% or less of S, 0.20-6.00% of Al, 0.020% or less of N, and 12.0-25.0% of Cr, and in which the remaining portion includes Fe and unavoidable impurities.",用于氨燃烧环境的铁素体不锈钢,本发明的目的在于提供一种用于NH3燃烧环境的铁素体不锈钢，该铁素体不锈钢在包含高温NH3的NH3燃烧环境中具有优异的高温NH3耐受性。该用于NH3燃烧环境的铁素体不锈钢具有如下成分组成：以质量%计，含有0.020%以下的C、0.05-2.50%的Si、0.05-2.00%的Mn、0.050%以下的P、0.010%以下的S、0.20-6.00%的Al、0.020%以下的N以及12.0-25.0%的Cr，余量包含Fe和不可避免的杂质。,644,1278,1094,0,1922,0.0055975,24.617,ok,
WO-2025212071-A1,A solid dispersion of enzalutamide,"The present invention relates to a solid dispersion comprising enzalutamide or its pharmaceutically acceptable salts, hydroxypropyl methylcellulose phthalate (HPMCP), soluplus® (polyvinyl caprolactam-polyvinyl acetate-polyethylene glycol), surfactant, and optionally at least one pharmaceutically acceptable excipient. The present invention also relates to a pharmaceutical composition comprising the solid dispersion of enzalutamide and its use for treating prostate cancer. The present invention further relates to a process for preparation of the solid dispersion of enzalutamide and the pharmaceutical composition comprising the solid dispersion of enzalutamide.",一种恩杂鲁胺固体分散体,本发明涉及一种固体分散体，其包含恩杂鲁胺或其药学上可接受的盐、羟丙甲纤维素邻苯二甲酸酯（HPMCP）、soluplus®（聚乙烯己内酰胺-聚乙酸乙烯酯-聚乙二醇）、表面活性剂，以及任选的至少一种药学上可接受的赋形剂。本发明还涉及一种包含所述恩杂鲁胺固体分散体的药物组合物及其在治疗前列腺癌中的用途。本发明进一步涉及一种制备所述恩杂鲁胺固体分散体的方法以及包含所述恩杂鲁胺固体分散体的药物组合物。,596,1393,1244,0,1989,0.00596875,26.59,ok,
EP-4566167-A1,Shaped body and method for a photovoltaic module,"The invention relates to a shaped body (6, 7) for producing a photovoltaic module, in particular a thermal photovoltaic module (4), comprising: - an upper face (11) which is concavely or convexly curved in a height direction (Z) in order to bend a layer stack (12) comprising at least two layers (1, 2, 3) for the photovoltaic module (4). The invention also relates to a method for processing a layer stack (12) for a photovoltaic module.",光伏组件用成型体及方法,"本发明涉及一种用于制造光伏组件、特别是热光伏组件(4)的成型体(6, 7)，其包括：- 在高度方向(Z)上呈凹面或凸面弯曲的上表面(11)，以便使包含至少两层(1, 2, 3)的用于光伏组件(4)的层叠体(12)弯曲。本发明还涉及一种用于加工光伏组件的层叠体(12)的方法。",578,1525,1399,0,2103,0.00644125,28.602,ok,
WO-2025207441-A1,"Process for producing fuel, base oils, and/or chemicals from renewable feedstocks",A renewable feedstock is pretreated and then hydrotreated to produce an effluent. The effluent is separated into a liquid stream and an offgas stream. At least one of the offgas streams comprises hydrogen sulphide. The offgas stream is passed to a biological desulfurization unit where a majority of the hydrogen sulphide is converted to bio-sulphur. At least a portion of the bio-sulphur is recycled to the pretreating step.,从可再生原料生产燃料、基础油和/或化学品的方法,将可再生原料进行预处理，然后进行加氢处理以得到流出物。将所述流出物分离为液体物流和尾气物流。至少一股尾气物流包含硫化氢。将所述尾气物流通入生物脱硫单元，在该单元中大部分硫化氢被转化为生物硫。将至少一部分所述生物硫循环至所述预处理步骤。,563,1490,1385,0,2053,0.00629125,27.853,ok,
MX-2025008102-A,Plant microbes and uses thereof,"Provided herein are compositions and methods for use in challenging pathogenic bacteria on plants. Optional features include modification of a donor bacteria to include exogenous nucleic acids encoding for conjugation machinery and gene modification components, such as guide sequence for use in CRISPR. The compositions and methods provided herein can be used for delivery to a wide variety of crops and for targeting one or more pathogens.",植物微生物及其用途,本文提供了用于防治植物病原细菌的组合物和方法。可选特征包括对供体菌进行修饰，使其包含编码接合系统和基因修饰组件的外源核酸，例如用于CRISPR的向导序列。本文提供的组合物和方法可用于递送至多种作物，并靶向一种或多种病原体。,535,1406,1325,0,1941,0.00594125,26.318,ok,
WO-2025216961-A1,Recycling of glass-containing pvb wastes via high temperature treatment,"It has been discovered that high volumes of glass particles and valuable recycled content products may be directly derived from waste PVB-containing compositions, such as interlayers. More particularly, one or more valuable recycled content products and glass particles can be consistently recovered from the high temperature treatment of waste PVB-containing compositions. Consequently, one can optimize recovery and utilization of recycled content products from waste PVB-containing compositions.",通过高温处理回收含玻璃的PVB废弃物,研究发现，可从含PVB的废弃组合物（如中间膜）中直接获取大量玻璃颗粒和高价值的回收成分产品。更具体而言，通过对含PVB的废弃组合物进行高温处理，能够稳定地回收一种或多种高价值的回收成分产品以及玻璃颗粒。因此，可以优化含PVB废弃组合物中回收成分产品的回收与利用。,543,1411,1309,0,1954,0.00597,26.364,ok,
WO-2025206141-A1,"Conductive particles, conductive material, and connection structure","Provided are conductive particles capable of exhibiting low dielectric properties. These conductive particles comprise base material particles, and a conductive layer disposed on the surface of the base material particles. The base material particles are a polymer of polymerizable components. The polymerizable components include a polymerizable compound having one or more maleimide groups. Of the 100 wt% of the polymerizable components, the content of the polymerizable compound having one or more maleimide groups is 10 wt% or more and 80 wt% or less. The dielectric constant of the base material particles is 2.80 F/m or less, and the dielectric loss tangent of the base material particles is 0.01 or less.",导电颗粒、导电材料及连接结构,提供能够表现出低介电特性的导电颗粒。该导电颗粒包含基材颗粒以及设置在所述基材颗粒表面上的导电层。所述基材颗粒为可聚合组分的聚合物。所述可聚合组分包括具有一个或多个马来酰亚胺基的可聚合化合物。在100 wt%的所述可聚合组分中，所述具有一个或多个马来酰亚胺基的可聚合化合物的含量为10 wt%以上且80 wt%以下。所述基材颗粒的介电常数为2.80 F/m以下，且所述基材颗粒的介电损耗角正切为0.01以下。,617,1323,1168,0,1940,0.0057325,24.879,ok,
WO-2025186444-A8,Chemical pretreatment method for metallic substrates including pre-rinse treatment step,"The present invention relates to a method of chemical pretreatment of a metallic surface of a substrate comprising at least steps 1) and 2), i.e., contacting the metallic surface at least in portion with an aqueous pre-rinse composition PRC, which comprises at least zirconium cations and copper cations (step 1)), and contacting at least the pre-rinsed portion of the metallic surface obtained after step 1)) at least in portion with an aqueous composition AC, which comprises zirconium cations, copper cations, and at least one organosilane and/or at least one hydrolysis and/or condensation product thereof, a method of coating the surface of the substrate that has undergone the aforementioned chemical pretreatment method, a substrate obtainable by these methods, and a kit-of-parts comprising an aqueous pre-rinse composition PRC or a concentrate thereof, and an aqueous composition AC or a concentrate thereof.",包含预冲洗处理步骤的金属基材化学预处理方法,本发明涉及一种对基材的金属表面进行化学预处理的方法，该方法至少包括步骤1）和2），即，使金属表面的至少部分与水性预冲洗组合物PRC接触，所述水性预冲洗组合物PRC至少包含锆阳离子和铜阳离子（步骤1），以及使步骤1）后获得的金属表面的至少预冲洗部分至少部分地与水性组合物AC接触，所述水性组合物AC包含锆阳离子、铜阳离子以及至少一种有机硅烷和/或其至少一种水解和/或缩合产物；本发明还涉及一种对经过上述化学预处理方法的基材表面进行涂覆的方法、可通过这些方法获得的基材，以及一种包含水性预冲洗组合物PRC或其浓缩物和水性组合物AC或其浓缩物的套件。,663,1490,1297,0,2153,0.00641625,27.444,ok,
