mode,strategy,strategy_name,corpus_id,publication_number,question_language,context_language,question,answer,question_type,framing,faith_grounding,faith_precision,faith_numerical_fidelity,faith_overall,qual_search_bar_realism,qual_specificity,qual_phrasing_economy,qual_focus,qual_linguistic_quality,qual_overall,qual_search_realism,qual_lexical_distance,qual_conceptual_framing,qual_retrievability,qual_linguistic_quality,qual_overall,qual_failure_type,total_score
technical,1,random_any,EP-4633622-A2_en,EP-4633622-A2,de,"en,fr",Welche Wirkung kann die Behandlung mit einer Kombination komplementärer TMEM16-Inhibitoren haben?,"can result in beneficial, synergistic effects",outcome,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4633622-A2_en,EP-4633622-A2,de,"en,fr",Welcher Inhibitortyp wird im Abstract genannt?,TMEM16 inhibitors,material,,5,5,5,15,2,5,4,5,5,21,,,,,5,21,document-phrasing,36
technical,1,random_any,EP-4633622-A2_en,EP-4633622-A2,de,"en,fr",Für welche Störungen werden Behandlungsmethoden genannt?,"methods of treating thrombotic disorders and hypercoagulation, including disorders related to COVID-19 and cancer",method,,5,5,5,15,3,4,3,4,5,19,,,,,5,19,document-phrasing,34
technical,1,random_any,EP-4634601-A1_en,EP-4634601-A1,en,"en,fr",What metal alloy is given as an example for the surface coating?,a molybdenum alloy.,material,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,1,random_any,EP-4634601-A1_en,EP-4634601-A1,en,"en,fr",What part of the mold or die can include a surface coating?,"A surface of the mold or die that, contacts a material to be processed can include a surface coating.",structure,,5,5,5,15,4,4,3,5,5,21,,,,,5,21,document-phrasing,36
technical,1,random_any,EP-4634601-A1_en,EP-4634601-A1,en,"en,fr",What items are described?,Molds and dies with surface coatings are described.,method,,5,5,5,15,3,1,4,5,5,18,,,,,5,18,broad-summary,33
technical,1,random_any,EP-4630626-A1_de,EP-4630626-A1,de,"de,fr",Wie ist die Qualität des neuen Asphalts definiert?,"wobei die Qualität umso grösser ist, je geringer eine Abweichung von einem deklarierten Soll des neuen Asphalts ist",outcome,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4630626-A1_de,EP-4630626-A1,de,"de,fr",Welches Material wird zur Wiederverwertung verwendet?,Ausbauasphalt,material,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4630626-A1_de,EP-4630626-A1,de,"de,fr",Was ist Optimierungsziel 2?,Maximierung eines Recyclinganteils an Ausbauasphalt im neuen Asphalt (RA-Anteil),outcome,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4630600-A1_de,EP-4630600-A1,en,"de,fr",How does the width (B1) of the gas outlet opening compare to the width (B2) of the substrate?,the width (B1) ... is smaller than the width (B2) of the substrate (9),parameter_or_condition,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4630600-A1_de,EP-4630600-A1,en,"de,fr",What does the first homogeneous gas flow contain?,"one or more reactive gases, whose decomposition products form the layer",material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4630600-A1_de,EP-4630600-A1,en,"de,fr",Where is the gas outlet opening located relative to the gas inlet organ (6) and the substrate (9)?,downstream of the gas inlet organ (6) and upstream of the substrate (9),method,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4633632-A1_en,EP-4633632-A1,es,"en,fr",¿Qué compuesto se menciona en el título?,orforglipron,material,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,1,random_any,EP-4633632-A1_en,EP-4633632-A1,es,"en,fr",¿Qué vía de administración se utiliza para el agonista del receptor GLP-1?,by oral administration,method,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,1,random_any,EP-4633632-A1_en,EP-4633632-A1,es,"en,fr",¿Qué tipo de dosis unitarias se divulgan?,"pharmaceutical unit dosages suitable for treating T2D, obesity, or overweight with at least one weight related comorbidity",parameter_or_condition,,5,5,5,15,5,4,4,5,5,23,,,,,5,23,high-overlap,38
technical,1,random_any,EP-4634136-A1_en,EP-4634136-A1,es,"en,fr",¿Dónde está posicionada la capa de imprimación?,between the substrate and the constructional layer,structure,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4634136-A1_en,EP-4634136-A1,es,"en,fr",¿De qué está basado el sustrato?,a substrate based on a hydraulically binding composition,material,,5,4,5,14,4,5,4,5,5,23,,,,,5,23,none,37
technical,1,random_any,EP-4634136-A1_en,EP-4634136-A1,es,"en,fr",¿Qué métodos se mencionan en el resumen?,methods for producing the layered assembly and methods for detaching the constructional layer from the layered assembly,method,,5,5,5,15,4,3,5,2,5,19,,,,,5,19,bundled-facts,34
technical,2,random_missing,EP-4634157-A1_en,EP-4634157-A1,de,"en,fr",Woraus besteht jedes R1?,each R1 is independently alkylene optionally interrupted by one or more –O- groups,structure,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,2,random_missing,EP-4634157-A1_en,EP-4634157-A1,de,"en,fr",Woraus kann jedes R2 bestehen?,"each R2 is independently hydrogen, alkyl, aryl, arylalkylenyl, or Formula (II)",structure,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,2,random_missing,EP-4634157-A1_en,EP-4634157-A1,de,"en,fr",Welche Verwendung der Zusammensetzung wird beschrieben?,Use of the composition as an adhesion promoter,method,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,2,random_missing,EP-4630574-A1_de,EP-4630574-A1,en,"de,fr",What reagent is in the second reagent set?,Hippuricase,material,,5,5,5,15,4,4,4,5,5,22,,,,,5,22,none,37
technical,2,random_missing,EP-4630574-A1_de,EP-4630574-A1,en,"de,fr",Which enzyme's activity is measured?,ACE,method,,5,5,5,15,3,3,5,5,5,21,,,,,5,21,broad-summary,36
technical,2,random_missing,EP-4630574-A1_de,EP-4630574-A1,en,"de,fr",What compound is the reaction mixture also contacted with?,Aminopyrin,material,,5,5,5,15,3,4,4,5,4,20,,,,,4,20,document-phrasing,35
technical,2,random_missing,EP-4634111-A1_en,EP-4634111-A1,de,"en,fr",Welcher Strom wird anstelle des kohlenwasserstoffhaltigen Abgasstroms verbrannt?,der decarbonisierte Kraftstoffstrom,outcome,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,2,random_missing,EP-4634111-A1_en,EP-4634111-A1,de,"en,fr",Welche drei Einheiten sind nacheinander in der Abgasbehandlungsanlage angeordnet?,"ein autothermer Reformer, eine Water-Gas-Shift-Sektion und eine CO 2-Entfernungseinheit",method,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634111-A1_en,EP-4634111-A1,de,"en,fr",Woraus wird der kohlenwasserstoffhaltige Kraftstoffstrom abgeleitet?,"aus dem kohlenwasserstoffhaltigen Abgasstrom, Dampf und jeglichem Zusatzbrennstoff",material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634596-A1_en,EP-4634596-A1,es,"en,fr",¿Cuál es el intervalo de temperatura de funcionamiento del catalizador de baja temperatura?,between 150°C and 160°C,parameter_or_condition,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,2,random_missing,EP-4634596-A1_en,EP-4634596-A1,es,"en,fr",¿Dónde está colocada la lance de inyección?,placed in a duct which is situated between the dust treatment system and the catalyst,material,,5,5,5,15,4,4,4,5,3,20,,,,,3,20,poor-writing,35
technical,2,random_missing,EP-4634596-A1_en,EP-4634596-A1,es,"en,fr",¿Qué contiene el gas de escape producido por la combustión de limestone?,exhaust gas comprising dust and nitrogen oxides (NO X ),outcome,,5,5,5,15,2,4,3,5,2,16,,,,,2,16,language-issue,31
technical,2,random_missing,EP-4634139-A1_en,EP-4634139-A1,es,"en,fr",¿Con qué materiales están encapsulados los compuestos?,encapsulated with an inert solid material and a fat,material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634139-A1_en,EP-4634139-A1,es,"en,fr",¿Qué efecto tienen los compuestos encapsulados sobre hongos comestibles y micelios?,to stimulate the development and growth of edible fungi and mycelia.,outcome,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634139-A1_en,EP-4634139-A1,es,"en,fr",¿Qué compuestos orgánicos se utilizan como biostimulantes?,"at least one organic compound chosen from among beta-pinene, delta-3-carene or beta-phellandrene, or one of the mixtures thereof",material,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,2,random_missing,WO-2025153617-A3_de,WO-2025153617-A3,en,"de,fr",Which plate is adjacent to the gas inlet organ?,Gasaustrittplatte (5),material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,WO-2025153617-A3_de,WO-2025153617-A3,en,"de,fr",Into which bores is the body sealingly inserted when mounted?,"in vertikal übereinander angeordneten Bohrungen (47, 47', 47'')",parameter_or_condition,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,2,random_missing,WO-2025153617-A3_de,WO-2025153617-A3,en,"de,fr",What extends along an axis from an upper end to a lower end?,Beobachtungskanal (8),structure,,5,5,5,15,4,4,3,5,5,21,,,,,5,21,high-overlap,36
technical,2,random_missing,EP-4634251-A1_en,EP-4634251-A1,es,"en,de,fr",¿Qué es el primer medio de unión (40)?,and the first connecting means (40) is a two-component (meth)acrylate adhesive,material,,5,4,5,14,5,5,4,5,5,24,,,,,5,24,none,38
technical,2,random_missing,EP-4634251-A1_en,EP-4634251-A1,es,"en,de,fr",¿Qué superficies de unión presenta el elemento de perfil (30)?,wherein: the profile element (30) has at least one first connecting surface (32) and/or at least one second connecting surface (33);,structure,,5,4,5,14,5,5,4,4,5,23,,,,,5,23,none,37
technical,2,random_missing,EP-4634251-A1_en,EP-4634251-A1,es,"en,de,fr",¿Qué contiene el adhesivo bicomponente en relación con monómeros?,characterized in that the two-component adhesive contains at least two selected (meth)acrylate monomers in specific proportions and specific mass ratios to each other.,material,,5,5,5,15,4,5,4,5,4,22,,,,,4,22,none,37
technical,2,random_missing,EP-4634426-A1_en,EP-4634426-A1,es,"en,de,fr",¿Qué porcentaje de Mn tiene el acero?,0.1-3 wt.% of Mn,structure,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,2,random_missing,EP-4634426-A1_en,EP-4634426-A1,es,"en,de,fr",¿De qué base es el recubrimiento de protección contra la corrosión?,an aluminum-based corrosion protection coating on at least one face,material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634426-A1_en,EP-4634426-A1,es,"en,de,fr",¿Cuál es el valor del gradiente de dureza perpendicular a la superficie del sustrato?,less than 1.7 GPa/µm,parameter_or_condition,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634729-A1_en,EP-4634729-A1,de,"en,fr",Welche Einheit liefert gemessene individuelle Reaktantmengen für jeden Reaktor?,eine Einheit zur Bereitstellung von Messungen (101) die gemessene individuelle Reaktantmengen für jeden Reaktor bereitstellt,material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634729-A1_en,EP-4634729-A1,de,"en,fr",Welche Einheit stellt für jeden Reaktor künstliche Intelligenzen bereit?,"eine Einheit zur Bereitstellung von künstlicher Intelligenz (102) die künstliche Intelligenzen (21, 22,..., 2K) für jeden Reaktor bereitstellt",material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634729-A1_en,EP-4634729-A1,de,"en,fr","Was ermöglicht das System, wenn mehrere Reaktoren zu einer kombinierten Produktmenge beitragen?",das System erlaubt die Erhöhung einer chemischen Produktionseffizienz,outcome,,5,4,5,14,5,4,5,5,5,24,,,,,5,24,none,38
technical,2,random_missing,EP-4626569-A1_de,EP-4626569-A1,en,"de,fr",What process is used to produce the alkali metal methoxides?,Reaktivdestillation in mindestens einer Reaktionskolonne,method,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,2,random_missing,EP-4626569-A1_de,EP-4626569-A1,en,"de,fr",What is withdrawn at the lower end of the reaction column?,"das jeweilige, in Methanol gelöste Alkalimetallmethanolat",material,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,2,random_missing,EP-4626569-A1_de,EP-4626569-A1,en,"de,fr",In how many stages are the vapors from the top of the rectification column compressed?,in mindestens zwei Stufen,parameter_or_condition,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,2,random_missing,EP-4634394-A2_en,EP-4634394-A2,es,"en,fr",¿Qué tipo de proteína del vector recombinante se ha modificado?,an engineered capsid or envelope protein,material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634394-A2_en,EP-4634394-A2,es,"en,fr",¿Qué motivo peptídico exógeno comprende el vector recombinante?,Xn – RGD-n-mer – Xm.,structure,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,2,random_missing,EP-4634394-A2_en,EP-4634394-A2,es,"en,fr",¿Qué tipos de células musculares se dirigen los péptidos?,cardiac and/or skeletal,material,,5,5,5,15,4,5,4,5,4,22,,,,,4,22,none,37
technical,2,random_missing,EP-4634424-A1_en,EP-4634424-A1,es,"en,fr",rango de Zn en % en peso,Zn 6.7 – 7.4,material,,5,5,5,15,4,5,5,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4634424-A1_en,EP-4634424-A1,es,"en,fr",tiempo de envejecimiento equivalente total t(eq) a 155°C,24 hours to 45 hours,parameter_or_condition,,5,5,4,14,4,5,4,5,5,23,,,,,5,23,none,37
technical,2,random_missing,EP-4634424-A1_en,EP-4634424-A1,es,"en,fr",qué propiedades mejoradas se obtienen en tenacidad y fatiga,tenacidad a la fractura criogénica y resistencia a la fatiga mejoradas en un entorno corrosivo,outcome,,5,5,5,15,3,4,4,3,5,19,,,,,5,19,bundled-facts,34
technical,2,random_missing,EP-4633602-A1_en,EP-4633602-A1,de,"en,fr",Welches atomare Verhältnis ((i):(ii)) von Zinkoxid zu den anderen Oxiden wird angegeben?,is at least about 1:10 and up to and including about 10:1,material,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,2,random_missing,EP-4633602-A1_en,EP-4633602-A1,de,"en,fr",Welchen mittleren Durchmesserbereich haben die Partikel?,between amount 10 nm and about 700 µm,parameter_or_condition,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,2,random_missing,EP-4633602-A1_en,EP-4633602-A1,de,"en,fr",Welche Technik wird bevorzugt zur Synthese der mit gemischten Oxiden beschichteten Partikel angegeben?,"are preferably synthesized via a gas phase coating technique, such as atomic layer deposition",method,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,3,random_existing,EP-4634337-A1_en,EP-4634337-A1,en,"en,fr",Does the test unit include a separator?,separator,structure,,5,5,5,15,3,5,5,5,5,23,,,,,5,23,none,38
technical,3,random_existing,EP-4634337-A1_en,EP-4634337-A1,en,"en,fr",What type of reactions is the test unit used to study?,fluid catalytic cracking reactions,method,,5,5,5,15,3,5,4,5,5,22,,,,,5,22,none,37
technical,3,random_existing,EP-4634337-A1_en,EP-4634337-A1,en,"en,fr",What is used to transport the catalyst?,screw conveyors,material,,5,5,5,15,3,5,4,5,5,22,,,,,5,22,none,37
technical,3,random_existing,EP-4634128-A1_en,EP-4634128-A1,en,"en,fr",What percentage by weight of vermiculite raw material does the formulation comprise?,30-70% by weight of vermiculite raw material,material,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,3,random_existing,EP-4634128-A1_en,EP-4634128-A1,en,"en,fr",What percentage by weight of at least one montmorillonite group compound does the formulation comprise?,3-15% by weight of at least one montmorillonite group compound,material,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,3,random_existing,EP-4634128-A1_en,EP-4634128-A1,en,"en,fr",What gas is introduced to the plate-shaped mixture for curing?,carbon dioxide gas,method,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,3,random_existing,EP-4633896-A1_en,EP-4633896-A1,en,"en,fr",What concentration of formic acid is in the swelling fluid?,at least 1 mol/L of formic acid.,parameter_or_condition,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,3,random_existing,EP-4633896-A1_en,EP-4633896-A1,en,"en,fr",What is formed when the network structure is mechanically broken up?,to form a multitude of thermoset epoxy fractions liberated from the solid elements.,outcome,,5,5,5,15,4,4,4,5,4,21,,,,,4,21,high-overlap,36
technical,3,random_existing,EP-4633896-A1_en,EP-4633896-A1,en,"en,fr",What does the method comprise providing?,a swelling fluid,method,,5,5,5,15,2,3,2,5,3,15,,,,,3,15,document-phrasing,30
technical,3,random_existing,WO-2025215091-A1_fr,WO-2025215091-A1,fr,"de,fr",De combien d'impulsions laser successives la séquence d'impulsions est-elle composée ?,composée d'au moins deux impulsions laser successives émises par la source de rayonnement laser,parameter_or_condition,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,3,random_existing,WO-2025215091-A1_fr,WO-2025215091-A1,fr,"de,fr",Entre quelles électrodes une décharge en arc électrique est-elle amorcée ?,entre une cathode et une anode,material,,5,5,5,15,3,5,4,5,5,22,,,,,5,22,weak-query-shape,37
technical,3,random_existing,WO-2025215091-A1_fr,WO-2025215091-A1,fr,"de,fr",Comment le plasma initial est-il formé sur la cathode ?,"en dirigeant un faisceau laser émis par une source de rayonnement laser sur une surface de la cathode, en vue de former un plasma initial",method,,5,5,5,15,3,5,4,5,5,22,,,,,5,22,document-phrasing,37
technical,3,random_existing,EP-4633599-A1_fr,EP-4633599-A1,fr,"en,fr",Quel est le pourcentage minimal de niacinamide dans la composition ?,au moins 1% en poids de niacinamide.,parameter_or_condition,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,3,random_existing,EP-4633599-A1_fr,EP-4633599-A1,fr,"en,fr",Quel extrait végétal figure dans la composition cosmétique ?,un extrait de racine de gingembre.,material,,5,5,5,15,5,4,4,5,5,23,,,,,5,23,none,38
technical,3,random_existing,EP-4633599-A1_fr,EP-4633599-A1,fr,"en,fr",Pour quelle action sur les fibres kératiniques la composition est-elle utilisée ?,pour traiter la perte et/ou favoriser la repousse des fibres kératiniques.,outcome,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,3,random_existing,EP-4633656-A1_fr,EP-4633656-A1,fr,"en,fr",À quoi les agents peuvent-ils se lier ?,à la bêta-caténine,material,,5,5,5,15,4,5,5,5,5,24,,,,,5,24,none,39
technical,3,random_existing,EP-4633656-A1_fr,EP-4633656-A1,fr,"en,fr",Que modulent les technologies présentées ?,des fonctions de bêta-caténine,method,,5,5,5,15,4,4,4,5,5,22,,,,,5,22,document-phrasing,37
technical,3,random_existing,EP-4633656-A1_fr,EP-4633656-A1,fr,"en,fr",Quelles conditions les technologies peuvent-elles prévenir et/ou traiter ?,"des états, des troubles ou des maladies associés à la bêta-caténine",outcome,,5,5,5,15,4,4,4,4,5,21,,,,,5,21,none,36
technical,3,random_existing,WO-2025208167-A1_de,WO-2025208167-A1,de,"de,fr",Welches Element hat einen vorzugsweise weichmagnetischen Kern?,ein induktives Element (12) mit einem insbesondere geschlossenen und vorzugsweise weichmagnetischen Kern (13),material,,5,4,5,14,5,5,4,5,5,24,,,,,5,24,document-phrasing,38
technical,3,random_existing,WO-2025208167-A1_de,WO-2025208167-A1,de,"de,fr",Welche Abschnitte weist das Gefäß auf?,einen Konzentrationsabschnitt (15) und einen Umlauf abschnitt (16),structure,,5,5,5,15,5,4,4,5,5,23,,,,,5,23,none,38
technical,3,random_existing,WO-2025208167-A1_de,WO-2025208167-A1,de,"de,fr",Welche Auswirkung hat der Konzentrationsabschnitt auf die elektrische Stromdichte (J) im Vergleich zum Umlaufabschnitt?,"wobei der Konzentrationsabschnitt (15) dazu eingerichtet ist, in dem Betrieb der Vorrichtung (1) eine elektrische Stromdichte (J) eines durch die induzierte elektrische Spannung (U i ) verursachten elektrischen Stroms (I i ) im Vergleich zu dem Umlauf abschnitt (16) zu erhöhen.",parameter_or_condition,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,3,random_existing,EP-4634396-A1_fr,EP-4634396-A1,fr,"en,fr",Quel catalyseur est mis en contact avec le glucose pour former la glucodialdose ?,un catalyseur d'oxydation enzymatique,material,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,3,random_existing,EP-4634396-A1_fr,EP-4634396-A1,fr,"en,fr",Quelle atmosphère est présente lors de l'hydrogénation de la glucodioxime pour former la glucodiamine ?,en présence d'hydrogène,parameter_or_condition,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,3,random_existing,EP-4634396-A1_fr,EP-4634396-A1,fr,"en,fr",Quel composé est formé en mettant en contact la glucodialdose avec un composé contenant de l'azote ?,glucodioxime,outcome,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,3,random_existing,EP-4633893-A1_fr,EP-4633893-A1,fr,"en,fr",Que comprennent les pièces en matériau composite ?,des fibres de renfort noyées dans un matériau matriciel.,material,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,3,random_existing,EP-4633893-A1_fr,EP-4633893-A1,fr,"en,fr",Que font au moins certaines des pièces après avoir été ramollies ?,au moins certaines des pièces changeant de forme après qu'elles ont été ramollies.,outcome,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
