model,short,query_id,qlang,first_gold_idx,n_blockers,same_lang_blockers,sl_blocker_share,sl_confusion,rank1
google/embeddinggemma-300m,embeddinggemma,WO-2025153617-A3_de_q_en,en,36,36,29,0.8055555555555556,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634251-A1_en_q_es,es,100,100,10,0.1,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634426-A1_en_q_es,es,100,100,35,0.35,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634729-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4626569-A1_de_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634394-A2_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634424-A1_en_q_es,es,62,62,20,0.3225806451612903,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633602-A1_en_q_de,de,100,100,23,0.23,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634337-A1_en_q_en,en,5,5,4,0.8,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634128-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633896-A1_en_q_en,en,1,1,1,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025215091-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633599-A1_fr_q_fr,fr,1,1,1,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633656-A1_fr_q_fr,fr,100,100,88,0.88,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025208167-A1_de_q_de,de,100,100,12,0.12,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634396-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633893-A1_fr_q_fr,fr,2,2,2,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633462-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633386-A1_en_q_en,en,100,100,64,0.64,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633970-A1_fr_q_fr,fr,3,3,3,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_fr_q_fr,fr,100,100,63,0.63,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_en,en,14,14,12,0.8571428571428571,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_de,de,69,69,2,0.028985507246376812,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_fr_q_fr,fr,11,11,9,0.8181818181818182,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_es,es,93,93,20,0.21505376344086022,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_en_q_en,en,69,69,39,0.5652173913043478,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_de_q_de,de,100,100,18,0.18,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_fr_q_fr,fr,44,44,32,0.7272727272727273,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_en_q_es,es,100,100,24,0.24,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633582-A1_en_q_es,es,1,1,1,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634165-A1_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633677-A1_en_q_de,de,53,53,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634246-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634120-A1_en_q_de,de,5,5,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633638-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633389-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025209629-A1_de_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634132-A2_en_q_en,en,8,8,6,0.75,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634914-A1_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634285-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634122-A1_fr_q_fr,fr,31,31,23,0.7419354838709677,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634365-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025214709-A1_de_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633426-A2_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4630604-A1_de_q_es,es,3,3,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634118-A1_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634404-A1_en_q_de,de,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633465-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633680-A1_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025201606-A1_de_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634435-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634143-A1_en_q_de,de,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634411-A1_en_q_de,de,100,100,35,0.35,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634287-A1_en_q_es,es,42,42,2,0.047619047619047616,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633627-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633670-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025202163-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025214852-A1_fr_q_fr,fr,35,35,19,0.5428571428571428,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025214996-A1_fr_q_fr,fr,2,2,2,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4630123-A1_de_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634646-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634294-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634436-A1_fr_q_fr,fr,1,1,1,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633761-A1_en_q_en,en,100,100,65,0.65,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025215167-A1_de_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_de,de,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_es,es,2,2,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_de_q_en,en,100,100,77,0.77,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_de_q_es,es,10,10,10,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_en,en,10,10,7,0.7,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_es,es,11,11,3,0.2727272727272727,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634381-A1_en_q_zh,zh,100,100,10,0.1,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633589-A1_en_q_zh,zh,100,100,11,0.11,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4627024-A1_de_q_zh,zh,100,100,7,0.07,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634926-A1_en_q_zh,zh,36,36,3,0.08333333333333333,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633863-A2_en_q_zh,zh,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633797-A1_en_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633777-A1_en_q_zh,zh,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633621-A1_en_q_zh,zh,10,10,1,0.1,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634723-A1_en_q_zh,zh,100,100,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633581-A1_en_q_zh,zh,67,67,30,0.44776119402985076,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634416-A1_en_q_zh,zh,14,14,3,0.21428571428571427,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634305-A1_en_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633531-A1_en_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634333-A1_en_q_zh,zh,1,1,1,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634212-A1_en_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4629959-A1_de_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4627881-A1_de_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4633576-A1_en_q_zh,zh,14,14,5,0.35714285714285715,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633742-A2_en_q_zh,zh,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633791-A1_en_q_zh,zh,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4630574-A1_fr_q_fr,fr,100,100,57,0.57,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634111-A1_fr_q_fr,fr,45,45,35,0.7777777777777778,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633622-A2_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634187-A1_en_q_es_120,es,2,2,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634139-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_en,en,100,100,54,0.54,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_de,de,57,57,8,0.14035087719298245,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_fr_q_fr,fr,8,8,7,0.875,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_es_125,es,100,100,30,0.3,1.0,same
google/embeddinggemma-300m,embeddinggemma,q_126_zh,zh,65,65,11,0.16923076923076924,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634248-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634142-A1_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025214812-A1_de_q_es,es,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633662-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025153617-A3_de_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_es_135,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,q_136_zh,zh,1,1,1,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4626887-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4630033-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4532639-A1_fr_q_fr,fr,100,100,62,0.62,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4627010-A1_en_q_de,de,100,100,25,0.25,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4626937-A1_en_q_de,de,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2022119476-A1_en_q_de,de,100,100,6,0.06,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025131900-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025200741-A1_en_q_zh,zh,100,100,4,0.04,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025009603-A_en_q_en,en,26,26,16,0.6153846153846154,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025009952-A_en_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025150253-A1_en_q_es,es,29,29,6,0.20689655172413793,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025186929-A8_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025211042-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025209205-A1_en_q_en,en,100,100,68,0.68,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025207982-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025210325-A1_en_q_de,de,26,26,11,0.4230769230769231,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025216427-A1_zh_q_zh,zh,100,100,5,0.05,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025197823-A1_zh_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,MX-2025002756-A_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025202632-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4627608-A1_en_q_en,en,19,19,18,0.9473684210526315,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634668-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,MX-2025009965-A_en_q_de,de,100,100,19,0.19,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025164300-A1_en_q_de,de,67,67,20,0.29850746268656714,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025009189-A_en_q_de,de,1,1,1,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2024253632-A1_en_q_en,en,6,6,4,0.6666666666666666,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025216023-A1_zh_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025211128-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,MX-2025010237-A_en_q_zh,zh,30,30,7,0.23333333333333334,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633785-A2_en_q_es,es,8,8,1,0.125,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025005737-A_en_q_en,en,32,32,13,0.40625,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025010606-A_en_q_en,en,1,1,1,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025010877-A_en_q_en,en,8,8,5,0.625,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4584035-A1_de_q_de,de,7,7,1,0.14285714285714285,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025170306-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025210569-A1_zh_q_zh,zh,100,100,5,0.05,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025010084-A_en_q_zh,zh,100,100,5,0.05,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025186542-A8_en_q_en,en,8,8,5,0.625,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025206130-A1_zh_q_zh,zh,4,4,1,0.25,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025208054-A1_en_q_de,de,8,8,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025201708-A1_en_q_zh,zh,100,100,16,0.16,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025141238-A1_es_q_es,es,5,5,2,0.4,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025004351-A_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025200809-A1_en_q_en,en,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025201644-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,MX-2025003633-A_en_q_de,de,100,100,23,0.23,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025170482-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,MX-2025002762-A_en_q_en,en,100,100,56,0.56,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025009196-A_en_q_de,de,100,100,32,0.32,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4584246-A1_en_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2022031256-A1_en_q_zh,zh,100,100,17,0.17,1.0,same
google/embeddinggemma-300m,embeddinggemma,ES-3035119-A1_en_q_fr,fr,100,100,90,0.9,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2022231470-A1_en_q_de,de,100,100,19,0.19,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4627127-A1_en_q_de,de,25,25,6,0.24,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025185983-A1_en_q_es,es,100,100,25,0.25,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4627015-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025212979-A1_en_q_de,de,28,28,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025010953-A_en_q_zh,zh,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025207427-A1_en_q_de,de,10,10,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025007532-A_en_q_de,de,22,22,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4627092-A1_en_q_zh,zh,11,11,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4584229-A1_en_q_es,es,79,79,32,0.4050632911392405,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2024054196-A1_en_q_zh,zh,11,11,1,0.09090909090909091,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025164618-A1_en_q_es,es,100,100,27,0.27,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4626889-A1_en_q_es,es,19,19,6,0.3157894736842105,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025004761-A_en_q_zh,zh,25,25,2,0.08,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025009867-A_en_q_de,de,83,83,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-03042409-A3_en_q_es,es,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025212474-A1_en_q_de,de,7,7,1,0.14285714285714285,1.0,same
google/embeddinggemma-300m,embeddinggemma,ES-3028671-A1_en_q_zh,zh,100,100,12,0.12,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025212467-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,MX-2025009862-A_en_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4566167-A1_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025216937-A1_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4630021-A1_en_q_de,de,6,6,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025007206-A_en_q_de,de,100,100,6,0.06,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4504821-A1_en_q_es,es,100,100,46,0.46,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025205793-A1_en_q_de,de,40,40,10,0.25,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025206825-A1_en_q_de,de,2,2,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4568770-A1_en_q_es,es,54,54,22,0.4074074074074074,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025188827-A8_en_q_es,es,100,100,35,0.35,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,MX-2025008259-A_en_q_fr,fr,100,100,80,0.8,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025132504-A1_en_q_es,es,100,100,38,0.38,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025007237-A_en_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,MX-2025005647-A_en_q_zh,zh,100,100,3,0.03,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025214411-A1_en_q_de,de,25,25,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4623093-A2_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634148-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025202170-A1_en_q_es,es,100,100,21,0.21,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4507673-A1_en_q_de,de,100,100,9,0.09,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025007577-A_en_q_fr,fr,9,9,7,0.7777777777777778,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025009131-A_en_q_zh,zh,100,100,14,0.14,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025009990-A_en_q_zh,zh,33,33,3,0.09090909090909091,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2023153953-A1_en_q_es,es,2,2,2,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025183548-A1_en_q_de,de,100,100,3,0.03,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025007163-A1_en_q_de,de,100,100,34,0.34,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025206959-A1_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025207810-A1_en_q_zh,zh,1,1,0,0.0,0.0,foreign
google/embeddinggemma-300m,embeddinggemma,WO-2025215476-A1_en_q_de,de,100,100,14,0.14,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2023149795-A1_en_q_en,en,100,100,56,0.56,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2022124934-A1_en_q_es,es,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025187134-A8_en_q_en,en,76,76,65,0.8552631578947368,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2023200358-A1_en_q_en,en,78,78,54,0.6923076923076923,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025216105-A1_fr_q_fr,fr,100,100,75,0.75,1.0,same
google/embeddinggemma-300m,embeddinggemma,MX-2025005014-A_es_q_es,es,1,1,1,1.0,1.0,same
google/embeddinggemma-300m,embeddinggemma,WO-2025216873-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,WO-2025205780-A1_zh_q_zh,zh,6,6,4,0.6666666666666666,1.0,same
